CreatedAt,ID,IDString,Source,Truncated,InReplyToStatusID,InReplyToStatusIDString,InReplyToUserID,InReplyToUserIDString,InReplyToScreenName,USERDATA,GEO,Coordinates,Place,Contributors,RetweetCount,FavouriteCount,Favourited,Retweeted,PossiblySensitive,Language
Thu Jul 03 11:30:20 +0000 2014,484660407802814464,484660407802814464,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,,,,,,,,,,,,,
Thu Jul 03 11:30:20 +0000 2014,484660407802814464,484660407802814464,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,,,,,,,,,,,,,
Thu Jul 03 11:30:20 +0000 2014,484660407802814464,484660407802814464,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,,,,,,,,11,2,,,,
Thu Jul 03 11:30:20 +0000 2014,484660407802814464,484660407802814464,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,,,,,,,,11,2,,,,
,,,,,,,,,,,,,,,,,false,false,false,en
Thu Jul 03 11:11:57 +0000 2014,484655782269841409,484655782269841409,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,,,,,,,,,,,,,
Thu Jul 03 11:11:57 +0000 2014,484655782269841409,484655782269841409,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,,,,,,,,,,,,,
Thu Jul 03 11:11:57 +0000 2014,484655782269841409,484655782269841409,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,,,,,,,,6,1,,,,
Thu Jul 03 11:11:57 +0000 2014,484655782269841409,484655782269841409,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,,,,,,,,6,1,,,,
,,,,,,,,,,,,,,,,,false,false,false,en
