CreatedAt,ID,ActualTweet,Source,Truncated,InReplyToStatusID,InReplyToUserID,InReplyToScreenName,UserID,UserScreenName,GEO,Coordinates,PlaceID,PlaceURL,PlaceType,PlaceName,PlaceFullName,PlaceCountryCode,PlaceCountry,Contributors,RetweetCount,FavouriteCount,Hashtags,Symbols,URL,URLInTweetExpanded,Indices,MediaIndices,MediaURL,MediaURLShort,MediaType,UserMentionScreenName,UserMentionName,UserMentionID,Favourited,Retweeted,PossiblySensitive,Language,Classifier,TweetLength
Mon Jul 14 10:30:06 +0000 2014,488631515052781568,"AP PHOTOS: A ""final"" look at the #WorldCup, players and spectators: http://t.co/OylU9yuiZv","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,51241574,AP,,,,,,,,,,,8,7,WorldCup,,http://t.co/OylU9yuiZv,http://apne.ws/1oW8S4l,90,,,,,,,,false,false,false,en,1,90
Mon Jul 14 10:00:08 +0000 2014,488623975753609216,"Archie, the famous freckle-faced comic book icon, to meet his demise; dies trying to save gay friend: http://t.co/UYr8ORnpio","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,51241574,AP,,,,,,,,,,,103,30,,,http://t.co/UYr8ORnpio,http://apne.ws/U9giI7,124,,,,,,,,false,false,false,en,1,124
Mon Jul 14 09:34:01 +0000 2014,488617404311011328,"France invites countries involved in WWI, former allies and enemies, to join Bastille Day commemoration: http://t.co/eu7yrymRZY","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,51241574,AP,,,,,,,,,,,63,19,,,http://t.co/eu7yrymRZY,http://apne.ws/1sSCyC2,127,,,,,,,,false,false,false,en,1,127
Mon Jul 14 09:00:10 +0000 2014,488608885226627072,Mass. Sen. Warren finds her brand of economic populism resonates far and wide as she stumps for Democrats: http://t.co/VFhmdQhDwz,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,51241574,AP,,,,,,,,,,,34,20,,,http://t.co/VFhmdQhDwz,http://apne.ws/1nwl5Pi,129,,,,,,,,false,false,false,en,1,134
Mon Jul 14 08:30:08 +0000 2014,488601324347748352,VIDEO: Cook County Jail in Chicago is one of thousands that serve as a treatment center for mentally ill: http://t.co/xOWLTnlfAM,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,51241574,AP,,,,,,,,,,,37,15,,,http://t.co/xOWLTnlfAM,http://apne.ws/1n0PSEY,128,,,,,,,,false,false,false,en,1,128
Mon Jul 14 08:00:05 +0000 2014,488593764685193216,"Wearable art is also armor: Designs like ""bullyproof vests"" target institutionalized oppression: http://t.co/5nJ5Yf0Ywp","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,51241574,AP,,,,,,,,,,,28,19,,,http://t.co/5nJ5Yf0Ywp,http://apne.ws/1n0Ppme,119,,,,,,,,false,false,false,en,1,119
Mon Jul 14 07:30:03 +0000 2014,488586205421129729,"Odor under investigation after 100 Penn. homes are evacuated; hydrogen cyanide detected, may not be cause: http://t.co/5WENWD8e1w","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,51241574,AP,,,,,,,,,,,38,15,,,http://t.co/5WENWD8e1w,http://apne.ws/1qXc3f7,129,,,,,,,,false,false,false,en,1,134
Mon Jul 14 07:30:03 +0000 2014,488586203718230017,"Rocket fire at Israel continues almost unabated despite air assault on Hamas militants, property, weaponry: http://t.co/YHtpEnYOjP","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,51241574,AP,,,,,,,,,,,67,20,,,http://t.co/YHtpEnYOjP,http://apne.ws/1r9V0bE,130,,,,,,,,false,false,false,en,1,134
Mon Jul 14 07:00:05 +0000 2014,488578666021277696,Samsung says it has suspended business ties with Chinese supplier that allegedly hired children: http://t.co/pFlsMJGJl1,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,51241574,AP,,,,,,,,,,,115,45,,,http://t.co/pFlsMJGJl1,http://apne.ws/1oyi2Cx,119,,,,,,,,false,false,false,en,1,119
Mon Jul 14 06:30:07 +0000 2014,488571122787835904,Brazilian media say local football confederation plans to drop Luiz Felipe Scolari as Brazil head coach: http://t.co/Dq5eKSx718,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,51241574,AP,,,,,,,,,,,78,25,,,http://t.co/Dq5eKSx718,http://apne.ws/1qXf92I,127,,,,,,,,false,false,false,en,1,127
Mon Jul 14 06:00:08 +0000 2014,488563578409328640,VIDEO: Riot police try to contain crowd hurling rocks and vandalizing stores after Argentina #WorldCup loss: http://t.co/9XwH1Ftppq,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,51241574,AP,,,,,,,,,,,112,31,WorldCup,,http://t.co/9XwH1Ftppq,http://apne.ws/1nvOR6D,131,,,,,,,,false,false,false,en,1,134
Mon Jul 14 05:30:02 +0000 2014,488556000744861696,"From swiping to scratching: Rashes caused by nickel allergies could be linked to iPad, other electronics: http://t.co/WovSKNlMoH","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,51241574,AP,,,,,,,,,,,117,43,,,http://t.co/WovSKNlMoH,http://apne.ws/U3fzrs,128,,,,,,,,false,false,false,en,1,128
Mon Jul 14 05:00:06 +0000 2014,488548467237982208,Seven small earthquakes jolt central Oklahoma over 14-hour period; some scientists see tie to fracking: http://t.co/OTndjMz8ns,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,51241574,AP,,,,,,,,,,,282,98,,,http://t.co/OTndjMz8ns,http://apne.ws/1nm3ipj,126,,,,,,,,false,false,false,en,1,126
Mon Jul 14 04:35:46 +0000 2014,488542346183974912,"As number of mentally ill surpasses 20 percent in some jails, inmates are sometimes put in jeopardy: http://t.co/bTtSM4Mvad","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,51241574,AP,,,,,,,,,,,134,78,,,http://t.co/bTtSM4Mvad,http://apne.ws/1n0xWu5,123,,,,,,,,false,false,false,en,1,123
Mon Jul 14 03:36:29 +0000 2014,488527427216609280,"Six people, including a child, burned by camera equipment fire at Rockefeller Plaza observation deck: http://t.co/3P3qFn1Bib","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,51241574,AP,,,,,,,,,,,139,46,,,http://t.co/3P3qFn1Bib,http://apne.ws/U907KJ,124,,,,,,,,false,false,false,en,1,124
Mon Jul 14 03:02:07 +0000 2014,488518777341231104,"RT @AP_Sports: In Gaza Strip, it took ingenuity, courage to watch #WorldCup:  http://t.co/1tg8FW9Xb6","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,51241574,AP,,,,,,,,,,,86,0,WorldCup,,http://t.co/1tg8FW9Xb6,http://m.apnews.com/ap/db_268759/contentdetail.htm?contentguid=XsA08FrB,100,,,,,AP_Sports,AP Sports,590316679,false,false,false,en,1,100
Mon Jul 14 02:32:06 +0000 2014,488511225186508800,RT @AP_Sports: The big winner at the #WorldCup? Merchandise: http://t.co/lpziURFqZR (@anniempeterson) http://t.co/SyGTXC2yIX,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,51241574,AP,,,,,,,,,,,91,0,WorldCup,,http://t.co/lpziURFqZR,http://apne.ws/1mLB0so,83,124,http://pbs.twimg.com/media/Bsd2dqNIAAAsFha.jpg,http://t.co/SyGTXC2yIX,photo,AnnieMPeterson,Anne M. Peterson,57688453,false,false,false,en,1,124
Mon Jul 14 02:29:54 +0000 2014,488510671970402304,RT @AP_Sports: Violence mars Argentina's #WorldCup celebration in Buenos Aires:  http://t.co/MgYWmPUS0a,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,51241574,AP,,,,,,,,,,,96,0,WorldCup,,http://t.co/MgYWmPUS0a,http://m.apnews.com/ap/db_268759/contentdetail.htm?contentguid=pPkvBDgd,103,,,,,AP_Sports,AP Sports,590316679,false,false,false,en,1,103
Mon Jul 14 01:56:47 +0000 2014,488502336663613440,#10Things to know for Mon.: The key to stopping fighting in Gaza; Germany defeats Argentina in the World Cup: http://t.co/8XgVpF6nl8,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,51241574,AP,,,,,,,,,,,55,39,10Things,,http://t.co/8XgVpF6nl8,http://apne.ws/1n09xVi,132,,,,,,,,false,false,false,en,1,134
