CreatedAt,ID,ActualTweet,Source,Truncated,InReplyToStatusID,InReplyToUserID,InReplyToScreenName,UserID,UserScreenName,GEO,Coordinates,PlaceID,PlaceURL,PlaceType,PlaceName,PlaceFullName,PlaceCountryCode,PlaceCountry,Contributors,RetweetCount,FavouriteCount,Hashtags,Symbols,URL,URLInTweetExpanded,Indices,MediaIndices,MediaURL,MediaURLShort,MediaType,UserMentionScreenName,UserMentionName,UserMentionID,Favourited,Retweeted,PossiblySensitive,Language,Classifier,TweetLength
Wed Jul 09 13:34:33 +0000 2014,486865994758250496,"England World Cup 2010 &amp; 2014 = 5  Goals Scored

Germany against Brazil after 60 minutes = 6 Goals Scored","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,538031518,BBCSporf,,,,,,,,,,,383,203,,,,,,,,,,,,,false,false,,en,0,109
Wed Jul 09 12:59:15 +0000 2014,486857110723239937,"RT @Footy_Jokes: Leaked pictures of Brazil's brand new jersey after Germany routs Brazil 7-1!!
Love this new jersey: http://t.co/ko9iGGC3x4","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,538031518,BBCSporf,,,,,,,,,,,74,0,,,http://t.co/ko9iGGC3x4,http://bit.ly/1pYeJvf,139,,,,,Footy_Jokes,"Footy Jokes ",370536393,false,false,false,en,0,134
Wed Jul 09 09:51:26 +0000 2014,486809847980380160,REVEALED: The stunning new Inter Milan home shirt for next season! Contender for best shirt of next season! Wow!...http://t.co/ALomumnXRt,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,538031518,BBCSporf,,,,,,,,,,,52,126,,,http://t.co/ALomumnXRt,http://bit.ly/1zoQAQe,137,,,,,,,,false,false,false,en,0,134
Wed Jul 09 08:03:53 +0000 2014,486782778747650048,FACT: The most awkward photo of the year. http://t.co/PyDAOKrAak,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,538031518,BBCSporf,,,,,,,,,,,4569,2242,,,,,,64,http://pbs.twimg.com/media/BsFmW3ICMAAvAIH.jpg,http://t.co/PyDAOKrAak,photo,,,,false,false,false,en,0,64
Wed Jul 09 07:37:04 +0000 2014,486776031962234880,BREAKING: PSG owners on the phone to Jose Mourinho this morning regarding the David Luiz deal. http://t.co/haZHgkRqRu,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,538031518,BBCSporf,,,,,,,,,,,2758,1276,,,,,,117,http://pbs.twimg.com/media/BsFgOAkIMAAUdf7.png,http://t.co/haZHgkRqRu,photo,,,,false,false,false,en,0,117
Tue Jul 08 22:05:30 +0000 2014,486632190974132224,WOW: Miroslav Klose's record 16 World Cup goals - his furthest from the penalty spot. http://t.co/L481yaBbLi,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,538031518,BBCSporf,,,,,,,,,,,1757,1051,,,,,,108,http://pbs.twimg.com/media/BsDdZOcIIAALLh3.png,http://t.co/L481yaBbLi,photo,,,,false,false,false,en,0,108
Tue Jul 08 21:51:20 +0000 2014,486628628357079041,BREAKING: Live pictures of Christ The Redeemer. http://t.co/hIKuozg3kR,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,538031518,BBCSporf,,,,,,,,,,,3154,1066,,,,,,70,http://pbs.twimg.com/media/BsDaJ7kIAAAYhRL.jpg,http://t.co/hIKuozg3kR,photo,,,,false,false,false,en,0,70
Tue Jul 08 21:46:35 +0000 2014,486627431315668993,BREAKING: The Brazil comeback is on!,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,538031518,BBCSporf,,,,,,,,,,,538,357,,,,,,,,,,,,,false,false,,en,0,36
Tue Jul 08 21:36:33 +0000 2014,486624908038795264,BREAKING: Free cans of drink available for all Brazilians right now. http://t.co/1N9ppk53Nb,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,538031518,BBCSporf,,,,,,,,,,,10962,3893,,,,,,91,http://pbs.twimg.com/media/BsDWxdNIQAI0H_W.png,http://t.co/1N9ppk53Nb,photo,,,,false,false,false,en,0,91
Tue Jul 08 21:25:37 +0000 2014,486622156592545793,BREAKING: Brazil fans right now. http://t.co/wy2464Yq9c,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,538031518,BBCSporf,,,,,,,,,,,721,269,,,,,,55,http://pbs.twimg.com/media/BsDURVyIYAE2OBY.png,http://t.co/wy2464Yq9c,photo,,,,false,false,false,en,0,55
