CreatedAt,ID,ActualTweet,Source,Truncated,InReplyToStatusID,InReplyToUserID,InReplyToScreenName,UserID,UserScreenName,GEO,Coordinates,PlaceID,PlaceURL,PlaceType,PlaceName,PlaceFullName,PlaceCountryCode,PlaceCountry,Contributors,RetweetCount,FavouriteCount,Hashtags,Symbols,URL,URLInTweetExpanded,Indices,MediaIndices,MediaURL,MediaURLShort,MediaType,UserMentionScreenName,UserMentionName,UserMentionID,Favourited,Retweeted,PossiblySensitive,Language,Classifier,TweetLength
Tue Apr 01 02:38:52 +0000 2014,450824590454161408,"piranhas are what we in the science community call ""hater fish""","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,700374013,Bill_Nye_tho,,,,,,,,,,,845,727,,,,,,,,,,,,,false,false,,en,0,63
Wed Feb 19 17:13:07 +0000 2014,436186696552820736,@danieltosh yo,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,25521487,danieltosh,700374013,Bill_Nye_tho,,,,,,,,,,,17,116,,,,,,,,,,danieltosh,daniel tosh,25521487,false,false,,und,0,14
Fri Jan 10 17:09:02 +0000 2014,421690154412425216,shout out to niggas joggin in subzero weather can't stop wont stop,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,700374013,Bill_Nye_tho,,,,,,,,,,,438,595,,,,,,,,,,,,,false,false,,en,0,66
Fri Jan 10 17:07:13 +0000 2014,421689698797760512,@JustBreadThings haha idk man. that's cool. you're cool bread,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,420431005213016065,2266219403,JustBreadThings,700374013,Bill_Nye_tho,,,,,,,,,,,4,25,,,,,,,,,,JustBreadThings,BUNSTOPPABLE,2266219403,false,false,,en,0,61
Sun Jan 05 01:51:58 +0000 2014,419647430091472896,AYE I WROTE SOME IMPORTANT SHIT ON HOW TO TEACH LIL HOMIES ABOUT SEX http://t.co/ku234tSnGS,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,700374013,Bill_Nye_tho,,,,,,,,,,,40,90,,,http://t.co/ku234tSnGS,http://www.riledupjournal.com/RiledUp/TabId/166/ArtMID/558/ArticleID/1927/HOW-TO-TEACH-LITTLE-HOMIE-ABOUT-SEX.aspx,91,,,,,,,,false,false,false,en,0,91
Wed Dec 11 04:07:11 +0000 2013,410621759881101312,@KenyattaKwoww i was posted tf up HOPING that someone would tweet me bio questions,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,410621371652141056,30056444,YahGirlKenyattz,700374013,Bill_Nye_tho,,,,,,,,,,,3,26,,,,,,,,,,,,,false,false,,en,0,82
Wed Dec 11 04:04:44 +0000 2013,410621142647336960,yo for real if your takin a science test at school and you need help just tweet me im serious i will hook you tf up,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,700374013,Bill_Nye_tho,,,,,,,,,,,682,967,,,,,,,,,,,,,false,false,,en,0,115
Wed Dec 11 04:04:01 +0000 2013,410620964150341632,@schlossmonster yo i will pay you to let me take your physics final,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,410612525982441472,178387998,schlossmonster,700374013,Bill_Nye_tho,,,,,,,,,,,15,53,,,,,,,,,,schlossmonster,MKS,178387998,false,false,,en,0,67
Wed Dec 11 03:27:10 +0000 2013,410611691966066688,"shout out to the first nigga to look at the big dipper and be like ""that look like a big ass spoon""","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,700374013,Bill_Nye_tho,,,,,,,,,,,1053,1205,,,,,,,,,,,,,false,false,,en,0,99
Tue Dec 10 23:20:02 +0000 2013,410549497026994176,STAY OUT THE ZOO. NATURE SAYS YOU AINT SUPPOSED TO BE ABLE TO SEE A POLAR BEAR AND A PARROT WITHIN AN HOURS SPAN,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,700374013,Bill_Nye_tho,,,,,,,,,,,820,804,,,,,,,,,,,,,false,false,,en,0,112
Tue Dec 10 23:17:23 +0000 2013,410548832523411456,I DO NOT FUCK WIT ZOOS IT AINT NATURAL A PENGUIN AND A GIRAFFE AINT EVER SUPPOSE TO BE LAMPIN IN CLOSE PROXIMITY,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,700374013,Bill_Nye_tho,,,,,,,,,,,796,819,,,,,,,,,,,,,false,false,,en,0,112
Wed Dec 04 19:47:52 +0000 2013,408321776092192768,beehives is weird every bee got 200 roommates,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,700374013,Bill_Nye_tho,,,,,,,,,,,459,510,,,,,,,,,,,,,false,false,,en,0,45
Wed Dec 04 03:23:26 +0000 2013,408074037760241664,*ghost rides a hybrid*,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,700374013,Bill_Nye_tho,,,,,,,,,,,445,395,,,,,,,,,,,,,false,false,,en,0,22
Wed Dec 04 03:22:00 +0000 2013,408073676269965313,"aye be careful if you eatin fish. that shit is like, mostly mercury","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,700374013,Bill_Nye_tho,,,,,,,,,,,242,260,,,,,,,,,,,,,false,false,,en,0,67
Mon Dec 02 02:09:40 +0000 2013,407330696672591872,y'all seen that cloud just now,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,700374013,Bill_Nye_tho,,,,,,,,,,,481,424,,,,,,,,,,,,,false,false,,en,0,30
Sat Nov 30 17:58:27 +0000 2013,406844690621685760,if u think ur runnin shit on the block or whatever take a step back and think about all the frogs that can kill u,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,700374013,Bill_Nye_tho,,,,,,,,,,,1070,868,,,,,,,,,,,,,false,false,,en,0,113
