CreatedAt,ID,ActualTweet,Source,Truncated,InReplyToStatusID,InReplyToUserID,InReplyToScreenName,UserID,UserScreenName,GEO,Coordinates,PlaceID,PlaceURL,PlaceType,PlaceName,PlaceFullName,PlaceCountryCode,PlaceCountry,Contributors,RetweetCount,FavouriteCount,Hashtags,Symbols,URL,URLInTweetExpanded,Indices,MediaIndices,MediaURL,MediaURLShort,MediaType,UserMentionScreenName,UserMentionName,UserMentionID,Favourited,Retweeted,PossiblySensitive,Language,Classifier,TweetLength
Fri Jul 11 14:53:03 +0000 2014,487610525325750272,"RT @breakingpol: House Appropriations Committee Chair says Obama's supplemental request for border security is too high - @Reuters, @frankt?","<a href=""http://www.breakingnews.com"" rel=""nofollow"">Breaking News +</a>",false,,,,6017542,BreakingNews,,,,,,,,,,,25,0,,,,,,,,,,frankthorpNBC,Frank Thorp V,14007532,false,false,,en,0,134
Fri Jul 11 13:54:35 +0000 2014,487595812508405760,"For expanded coverage on the Israeli-Palestinian conflict, see the topic in our app: http://t.co/WBUttIzyvF","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,6017542,BreakingNews,,,,,,,,,,,27,9,,,http://t.co/WBUttIzyvF,http://bit.ly/1gPI6uV,107,,,,,,,,false,false,false,en,0,107
Fri Jul 11 11:39:45 +0000 2014,487561879045537792,"Liverpool releases statement confirming Luis Suarez will leave the club for Barcelona - @BBCSport, @TeleFootball","<a href=""http://www.breakingnews.com"" rel=""nofollow"">Breaking News +</a>",false,,,,6017542,BreakingNews,,,,,,,,,,,271,62,,,,,,,,,,TeleFootball,Telegraph Football,2219897472,false,false,,en,0,112
Fri Jul 11 11:38:09 +0000 2014,487561477382225920,"RT @breakingtravel: Chrysler recalling 895,000 SUVs worldwide to reroute vanity mirror wiring because of fire concerns, @davidshepardson re?","<a href=""http://www.breakingnews.com"" rel=""nofollow"">Breaking News +</a>",false,,,,6017542,BreakingNews,,,,,,,,,,,68,0,,,,,,,,,,davidshepardson,David Shepardson,26283307,false,false,,en,0,134
Fri Jul 11 09:57:11 +0000 2014,487536069424869377,Sources: Gaza death toll from Israel air strikes tops 100; rocket attacks on Israel continue - @BBCBreaking http://t.co/XA3OZDzmyg,"<a href=""http://www.breakingnews.com"" rel=""nofollow"">Breaking News +</a>",false,,,,6017542,BreakingNews,,,,,,,,,,,187,35,,,http://t.co/XA3OZDzmyg,http://bbc.in/1nkmicn,130,,,,,BBCBreaking,BBC Breaking News,5402612,false,false,false,en,0,134
Fri Jul 11 09:48:19 +0000 2014,487533836998553601,Hamas warns airlines that rocket attacks fromGaza will target Israel's Ben Gurion International Airport  - @Reuters http://t.co/QCjvqs1nSo,"<a href=""http://www.breakingnews.com"" rel=""nofollow"">Breaking News +</a>",false,,,,6017542,BreakingNews,,,,,,,,,,,249,34,,,http://t.co/QCjvqs1nSo,http://www.breakingnews.com/t/SuR,138,,,,,Reuters,Reuters Top News,1652541,false,false,false,en,0,134
Fri Jul 11 09:07:30 +0000 2014,487523564107857920,8 people killed overnight in airstrikes on Gaza; death toll rises to 98 &amp; 670 injured - @BBCBreaking http://t.co/bCwISaiUE4,"<a href=""http://www.breakingnews.com"" rel=""nofollow"">Breaking News +</a>",false,,,,6017542,BreakingNews,,,,,,,,,,,195,36,,,http://t.co/bCwISaiUE4,http://bbc.in/1ztj9w7,127,,,,,BBCBreaking,BBC Breaking News,5402612,false,false,false,en,0,127
Fri Jul 11 08:11:20 +0000 2014,487509429441802240,"Ebola virus: 44 new cases and 21 deaths in Sierra Leone, Liberia and Guinea between July 6-8 - @WHO http://t.co/HJDQptnLQG","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,6017542,BreakingNews,,,,,,,,,,,170,27,,,http://t.co/HJDQptnLQG,http://www.breakingnews.com/t/PoI,122,,,,,WHO,WHO,14499829,false,false,false,en,0,122
Fri Jul 11 06:58:41 +0000 2014,487491149293420546,Local media: Blast in western Turkey city of Denizli happened in a bakery - thought to have been caused by a gas leak - @Reuters,"<a href=""http://www.breakingnews.com"" rel=""nofollow"">Breaking News +</a>",false,,,,6017542,BreakingNews,,,,,,,,,,,37,19,,,,,,,,,,Reuters,Reuters Top News,1652541,false,false,,en,0,128
Fri Jul 11 06:37:24 +0000 2014,487485793242734592,Police: Several injured in blast in western Turkey city of Denizli; cause of explosion as yet unknown - @Reuters,"<a href=""http://www.breakingnews.com"" rel=""nofollow"">Breaking News +</a>",false,,,,6017542,BreakingNews,,,,,,,,,,,68,18,,,,,,,,,,Reuters,Reuters Top News,1652541,false,false,,en,0,112
Fri Jul 11 03:35:58 +0000 2014,487440130605846528,"RT @breakingbytes: After short revival, Google services are again disrupted in China - @Reuters http://t.co/yb4JEedsrk","<a href=""http://www.breakingnews.com"" rel=""nofollow"">Breaking News +</a>",false,,,,6017542,BreakingNews,,,,,,,,,,,48,0,,,http://t.co/yb4JEedsrk,http://yhoo.it/1ooGrdU,118,,,,,Reuters,Reuters Top News,1652541,false,false,false,en,0,118
Thu Jul 10 22:50:53 +0000 2014,487368388440637440,"Florida executes man convicted in 1994 rape, murder of girl; state's 6th execution this year - @AP http://t.co/9Gcmt505tt","<a href=""http://www.breakingnews.com"" rel=""nofollow"">Breaking News +</a>",false,,,,6017542,BreakingNews,,,,,,,,,,,115,100,,,http://t.co/9Gcmt505tt,http://www.breakingnews.com/t/MhU,121,,,,,AP,The Associated Press,51241574,false,false,false,en,0,121
Thu Jul 10 20:23:00 +0000 2014,487331172121190402,"RT @breakingpol: Secretary of State Kerry arrives in Kabul, Afghanistan, for talks with 2 disputed presidential candidates, President Karza?","<a href=""http://www.breakingnews.com"" rel=""nofollow"">Breaking News +</a>",false,,,,6017542,BreakingNews,,,,,,,,,,,25,0,,,,,,,,,,AliABCNews,Ali Weinberg,49620730,false,false,,en,0,134
Thu Jul 10 20:03:43 +0000 2014,487326322075926528,"RT @breakingmoney: US stocks end lower, but recoup more than half of morning's Portugal-related drop - @CNBC http://t.co/bvatrc0vu0","<a href=""http://www.breakingnews.com"" rel=""nofollow"">Breaking News +</a>",false,,,,6017542,BreakingNews,,,,,,,,,,,21,0,,,http://t.co/bvatrc0vu0,http://cnb.cx/1nbV2I9,131,,,,,CNBC,CNBC,20402945,false,false,false,en,0,134
Thu Jul 10 18:20:06 +0000 2014,487300245240696833,"RT @breakingpol: Denver County, Colo., clerk's office begins issuing marriage licenses to same-sex couples - @denverpost http://t.co/L6yMd9?","<a href=""http://www.breakingnews.com"" rel=""nofollow"">Breaking News +</a>",false,,,,6017542,BreakingNews,,,,,,,,,,,94,0,,,http://t.co/L6yMd9Am5v,http://dpo.st/1onh7EQ,140,,,,,denverpost,The Denver Post,8216772,false,false,false,en,0,134
