CreatedAt,ID,ActualTweet,Source,Truncated,InReplyToStatusID,InReplyToUserID,InReplyToScreenName,UserID,UserScreenName,GEO,Coordinates,PlaceID,PlaceURL,PlaceType,PlaceName,PlaceFullName,PlaceCountryCode,PlaceCountry,Contributors,RetweetCount,FavouriteCount,Hashtags,Symbols,URL,URLInTweetExpanded,Indices,MediaIndices,MediaURL,MediaURLShort,MediaType,UserMentionScreenName,UserMentionName,UserMentionID,Favourited,Retweeted,PossiblySensitive,Language,Classifier,TweetLength
Mon Jul 14 10:15:48 +0000 2014,488627918835572736,JUST IN: shipwrecked Costa Concordia has been successfully refloated in preparation for towing it away for scrapping,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,15012486,CBSNews,,,,,,,,,,,46,5,,,,,,,,,,,,,false,false,,en,1,116
Mon Jul 14 03:05:09 +0000 2014,488519540742307840,Body found in Mexico may be that of missing American http://t.co/8lruNbguS4,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,15012486,CBSNews,,,,,,,,,,,50,29,,,http://t.co/8lruNbguS4,http://cbsn.ws/1nvpxOe,75,,,,,,,,false,false,false,en,1,75
Mon Jul 14 01:13:43 +0000 2014,488491496874995712,"For Lionel Messi, #WorldCup ends on a miserable note http://t.co/u9eTgV77GQ","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,15012486,CBSNews,,,,,,,,,,,22,28,WorldCup,,http://t.co/u9eTgV77GQ,http://cbsn.ws/1yetiep,75,,,,,,,,false,false,false,en,1,75
Mon Jul 14 00:23:52 +0000 2014,488478951351005184,Meet Germany's new soccer superstar #WorldCup http://t.co/TpcrYzJN4r,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,15012486,CBSNews,,,,,,,,,,,32,30,WorldCup,,http://t.co/TpcrYzJN4r,http://cbsn.ws/1mZWXWa,68,,,,,,,,false,false,false,en,1,68
Sun Jul 13 23:15:03 +0000 2014,488461635158552576,Group flies pro-swastika banner over New York beaches - http://t.co/wShNInAeaE http://t.co/s1M76jCYL7,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,15012486,CBSNews,,,,,,,,,,,128,52,,,http://t.co/wShNInAeaE,http://cbsn.ws/1nlsbRL,78,101,http://pbs.twimg.com/media/BsddRN8IYAA6GQE.jpg,http://t.co/s1M76jCYL7,photo,,,,false,false,false,en,1,101
Sun Jul 13 23:00:09 +0000 2014,488457886507749377,"From the Archives: Lorin Maazel, who passed away today, leads U.S. orchestra in N. Korea in 2008 - http://t.co/TvsgLcC5On","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,15012486,CBSNews,,,,,,,,,,,10,7,,,http://t.co/TvsgLcC5On,http://cbsn.ws/U2Iko5,121,,,,,,,,false,false,false,en,1,121
Sun Jul 13 22:41:54 +0000 2014,488453290150363136,Thousands of Palestinians flee northern Gaza Strip - http://t.co/Urhc72hE1i,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,15012486,CBSNews,,,,,,,,,,,43,8,,,http://t.co/Urhc72hE1i,http://cbsn.ws/1qWvTax,75,,,,,,,,false,false,false,en,1,75
Sun Jul 13 22:00:11 +0000 2014,488442794919620609,"RT @FaceTheNation: Where do Israel and the Palestinians go from here? Our panel discusses that, the #immigration crisis and much more: http?","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,15012486,CBSNews,,,,,,,,,,,14,0,immigration,,http://t.co/ue7eHj7KPT,http://cbsn.ws/1sPDEhN,140,,,,,FaceTheNation,Face The Nation,205392468,false,false,false,en,1,134
Sun Jul 13 21:46:46 +0000 2014,488439416957198336,Germany wins 1-0 over Argentina with last-minute score in #WorldCup final - http://t.co/YGpRtaocR1 #GER #ARG,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,15012486,CBSNews,,,,,,,,,,,98,74,ARG,,http://t.co/YGpRtaocR1,http://cbsn.ws/1num2HQ,98,,,,,,,,false,false,false,en,1,108
Sun Jul 13 21:40:06 +0000 2014,488437741206913024,RT @FaceTheNation: .@GovernorPerry says the Obama administration doesn't care about border security http://t.co/hPv1KOwpvk #immigration,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,15012486,CBSNews,,,,,,,,,,,34,0,immigration,,http://t.co/hPv1KOwpvk,http://cbsn.ws/W0uJzn,122,,,,,GovernorPerry,Rick Perry,18906561,false,false,false,en,1,134
