CreatedAt,ID,ActualTweet,Source,Truncated,InReplyToStatusID,InReplyToUserID,InReplyToScreenName,UserID,UserScreenName,GEO,Coordinates,PlaceID,PlaceURL,PlaceType,PlaceName,PlaceFullName,PlaceCountryCode,PlaceCountry,Contributors,RetweetCount,FavouriteCount,Hashtags,Symbols,URL,URLInTweetExpanded,Indices,MediaIndices,MediaURL,MediaURLShort,MediaType,UserMentionScreenName,UserMentionName,UserMentionID,Favourited,Retweeted,PossiblySensitive,Language,Classifier,TweetLength
Wed Jul 09 09:40:04 +0000 2014,486806987762454528,iPhone 6 leaks: A device begging for torture-testing with a nearly indestructible screen http://t.co/sTDSgLxkdE http://t.co/Jt6evbgEv0,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",false,,,,30261067,CNET,,,,,,,,,,,23,9,,,http://t.co/sTDSgLxkdE,http://cnet.co/1ohfLvz,111,134,http://pbs.twimg.com/media/BsF8YDxCMAA4-Mx.jpg,http://t.co/Jt6evbgEv0,photo,,,,false,false,false,en,1,134
Wed Jul 09 09:10:04 +0000 2014,486799435763286016,Gold Bubble's new Sherlock clothing line is inspired by the popular BBC series http://t.co/myblfelACs  #ICYMI http://t.co/thF78uRjnw,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",false,,,,30261067,CNET,,,,,,,,,,,17,11,ICYMI,,http://t.co/myblfelACs,http://cnet.co/1mG9UEt,101,132,http://pbs.twimg.com/media/BsF1geuIEAEcjQO.jpg,http://t.co/thF78uRjnw,photo,,,,false,false,false,en,1,134
Wed Jul 09 08:35:03 +0000 2014,486790625560653824,Star Wars fan film made by college football player gives the prequels a run for their money http://t.co/3TPYqaJLHo http://t.co/vBFdvfGYgz,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",false,,,,30261067,CNET,,,,,,,,,,,35,45,,,http://t.co/3TPYqaJLHo,http://cnet.co/1jbXZNY,114,137,http://pbs.twimg.com/media/BsFtfqEIcAIgcor.jpg,http://t.co/vBFdvfGYgz,photo,,,,false,false,false,en,1,134
Wed Jul 09 08:11:03 +0000 2014,486784585834188801,The Singapore government has passed a law to block illegal sites http://t.co/BG3XyOh9wV http://t.co/6zaTUYBAZm,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",false,,,,30261067,CNET,,,,,,,,,,,75,16,,,http://t.co/BG3XyOh9wV,http://cnet.co/1mHI62s,87,110,http://pbs.twimg.com/media/BsFoAGQIQAEiOCa.png,http://t.co/6zaTUYBAZm,photo,,,,false,false,false,en,1,110
Wed Jul 09 06:12:51 +0000 2014,486754839205257216,"In 2014, 'phablet' is the new tablet http://t.co/JM2e2ZWGsc","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",false,,,,30261067,CNET,,,,,,,,,,,32,29,,,http://t.co/JM2e2ZWGsc,http://cnet.co/1ncV0EM,59,,,,,,,,false,false,false,en,1,59
Wed Jul 09 06:02:57 +0000 2014,486752345439485958,Cuphead: 1930s animation meets run-and-gun gameplay http://t.co/I6M8qiDF8J http://t.co/NVoXfFSsZG,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",false,,,,30261067,CNET,,,,,,,,,,,18,16,,,http://t.co/I6M8qiDF8J,http://cnet.co/1oAaLUc,74,97,http://pbs.twimg.com/media/BsFKrdYCYAAoRnQ.jpg,http://t.co/NVoXfFSsZG,photo,,,,false,false,false,en,1,97
Wed Jul 09 05:46:23 +0000 2014,486748177761308673,Urban Airship CEO takes leave amid sex assault probe http://t.co/8o63jrlOs9,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",false,,,,30261067,CNET,,,,,,,,,,,7,7,,,http://t.co/8o63jrlOs9,http://cnet.co/1jd4CiT,75,,,,,,,,false,false,false,en,1,75
Wed Jul 09 05:33:22 +0000 2014,486744901250347008,?Xiaomi to release Mi 3 as first foray in India http://t.co/heWK02BGOY,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",false,,,,30261067,CNET,,,,,,,,,,,18,8,,,http://t.co/heWK02BGOY,http://cnet.co/1jd3EmP,70,,,,,,,,false,false,false,en,1,70
Wed Jul 09 03:55:24 +0000 2014,486720249010876416,LG unleashes a wearable that lets parents track their kids http://t.co/pTaOLg7Ei4,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",false,,,,30261067,CNET,,,,,,,,,,,26,15,,,http://t.co/pTaOLg7Ei4,http://cnet.co/1sv07jW,81,,,,,,,,false,false,false,en,1,81
Wed Jul 09 03:00:21 +0000 2014,486706395832942593,"Adobe pushes critical Flash update for Windows, Mac http://t.co/wMybig3Hnu","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",false,,,,30261067,CNET,,,,,,,,,,,50,23,,,http://t.co/wMybig3Hnu,http://cnet.co/1suQfXI,74,,,,,,,,false,false,false,en,1,74
