CreatedAt,ID,ActualTweet,Source,Truncated,InReplyToStatusID,InReplyToUserID,InReplyToScreenName,UserID,UserScreenName,GEO,Coordinates,PlaceID,PlaceURL,PlaceType,PlaceName,PlaceFullName,PlaceCountryCode,PlaceCountry,Contributors,RetweetCount,FavouriteCount,Hashtags,Symbols,URL,URLInTweetExpanded,Indices,MediaIndices,MediaURL,MediaURLShort,MediaType,UserMentionScreenName,UserMentionName,UserMentionID,Favourited,Retweeted,PossiblySensitive,Language,Classifier,TweetLength
Wed Jul 09 08:31:21 +0000 2014,486789691614973953,"RT @NewDay: Coming up at 6amET: wild night of weather in the East, the #immigration crisis, latest on the conflict in #Israel, your headlin?","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,759251,CNN,,,,,,,,,,,25,0,Israel,,,,,,,,,NewDay,New Day,1375289149,false,false,,en,1,134
Wed Jul 09 08:28:49 +0000 2014,486789055515201536,"Fierce storms kill 5, leave more than 400,000 without power: http://t.co/LpQkrXQ3eZ","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,759251,CNN,,,,,,,,,,,68,25,,,http://t.co/LpQkrXQ3eZ,http://cnn.it/VINvet,83,,,,,,,,false,false,false,en,1,83
Wed Jul 09 05:47:59 +0000 2014,486748580896866304,RT @cnnbrk: Government report: Sunken South Korean Sewol ferry was licensed based on falsified documents. http://t.co/EGuZHjdMg4,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,759251,CNN,,,,,,,,,,,224,0,,,http://t.co/EGuZHjdMg4,http://cnn.it/1kCuwYw,128,,,,,cnnbrk,CNN Breaking News,428333,false,false,false,en,1,128
Wed Jul 09 05:37:12 +0000 2014,486745868104896513,RT @CNNMoney: Beijing has built the world's largest high-speed rail system. It took less than a decade. http://t.co/nFDc4UZQdL http://t.co/?,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,759251,CNN,,,,,,,,,,,798,0,,,http://t.co/nFDc4UZQdL,http://money.cnn.com/gallery/news/2014/07/08/china-high-speed-rail/index.html,126,140,http://pbs.twimg.com/media/BsEqGZCCcAA6CqT.jpg,http://t.co/iuqK7LAtT4,photo,CNNMoney,CNNMoney,16184358,false,false,false,en,1,134
Wed Jul 09 03:17:52 +0000 2014,486710803190784000,"RT @OutFrontCNN: Drivers blasting pedestrians with black smoke. Harmless prank or aggressive tactic?
http://t.co/yCtDJxtVAM  @CNN http://t.?","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,759251,CNN,,,,,,,,,,,89,0,,,http://t.co/yCtDJxtVAM,http://cnn.it/1mwXuNI,123,140,http://pbs.twimg.com/media/BsEkRQwIUAAQoir.jpg,http://t.co/yhMUUhHQI0,photo,CNN,CNN,759251,false,false,false,en,1,134
Wed Jul 09 02:54:09 +0000 2014,486704831856652288,RT @Crossfire: Senator &amp; Doctor @TomCoburn worries legalizing marijuana could lead to 'tragedy' http://t.co/5upUcu2Haj #Crossfire http://t.?,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,759251,CNN,,,,,,,,,,,157,0,Crossfire,,http://t.co/5upUcu2Haj,http://cnn.it/1lSq7jX,122,144,http://pbs.twimg.com/media/BsEUVVmCUAAWBAE.jpg,http://t.co/yyZsKBtRqH,photo,TomCoburn,Sen. Tom Coburn M.D.,18216752,false,false,false,en,1,134
Wed Jul 09 01:44:04 +0000 2014,486687194791542785,RT @Crossfire: 82 people shot in Chicago over the weekend &amp; the U.S is desensitized?Outrageous -@newtgingrich http://t.co/5upUcu2Haj http:/?,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,759251,CNN,,,,,,,,,,,345,0,,,http://t.co/5upUcu2Haj,http://cnn.it/1lSq7jX,136,144,http://pbs.twimg.com/media/BsEOJ8RCIAA63Ha.jpg,http://t.co/3KP2a5YPmi,photo,newtgingrich,Newt Gingrich,20713061,false,false,false,en,1,134
Wed Jul 09 01:01:44 +0000 2014,486676543696306177,RT @AC360: #AC360 is back 11p. @drsanjaygupta's documentary #Weed2 is on now.,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,759251,CNN,,,,,,,,,,,25,0,Weed2,,,,,,,,,drsanjaygupta,Dr. Sanjay Gupta,18170896,false,false,,en,1,77
Wed Jul 09 00:42:06 +0000 2014,486671600323141632,RT @AC360: Is there a right &amp; wrong way to respond to a tragedy? The latest on the #HotCarDeath case next on #AC360,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,759251,CNN,,,,,,,,,,,34,0,AC360,,,,,,,,,AC360,Anderson Cooper 360?,227837742,false,false,,en,1,119
Wed Jul 09 00:41:58 +0000 2014,486671569218183169,RT @CNNTonight: What would you/should you do if you came face to face with a Great White? Animal expert/TV Host @JarodMiller has some answe?,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,759251,CNN,,,,,,,,,,,19,0,,,,,,,,,,Jarodmiller,Jarod Miller,65490804,false,false,,en,1,134
