CreatedAt,ID,ActualTweet,Source,Truncated,InReplyToStatusID,InReplyToUserID,InReplyToScreenName,UserID,UserScreenName,GEO,Coordinates,PlaceID,PlaceURL,PlaceType,PlaceName,PlaceFullName,PlaceCountryCode,PlaceCountry,Contributors,RetweetCount,FavouriteCount,Hashtags,Symbols,URL,URLInTweetExpanded,Indices,MediaIndices,MediaURL,MediaURLShort,MediaType,UserMentionScreenName,UserMentionName,UserMentionID,Favourited,Retweeted,PossiblySensitive,Language,Classifier,TweetLength
Mon Apr 14 16:35:18 +0000 2014,455746124666519552,Bureau Chiefs @HighMindedMW and @theisb are heightening the art of film criticism with the Movie Fighters podcast. https://t.co/X4qI2p9Yq7,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,83883736,FakeAPStylebook,,,,,,,,,,,1,4,,,https://t.co/X4qI2p9Yq7,https://www.kickstarter.com/projects/629403580/make-the-movie-fighters-podcast-free,138,,,,,theisb,Chris Sims,14976574,false,false,false,en,0,134
Fri Apr 04 17:02:52 +0000 2014,452129184974790656,"RT @fakethirtyeight: We surveyed 10,752 people about data visualization. The results: http://t.co/8JQFVSbas8","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,83883736,FakeAPStylebook,,,,,,,,,,,1175,0,,,,,,108,http://pbs.twimg.com/media/BkZI4P_CEAAS2CG.jpg,http://t.co/8JQFVSbas8,photo,fakethirtyeight,FakeThirtyEight,2425845656,false,false,false,en,0,108
Wed Feb 19 18:51:10 +0000 2014,436211373178359809,"Capitalize ""Bitcoin"" by converting it to grown-up money before the bottom drops out.","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",false,,,,83883736,FakeAPStylebook,,,,,,,,,,,275,166,,,,,,,,,,,,,false,false,,en,0,84
Mon Feb 17 16:42:17 +0000 2014,435454164626206720,We have been nominated for the @shortyawards. Vote for us if you want to crush the @ChicagoManual and its cult. http://t.co/Lae7SiDePe,"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>",false,,,,83883736,FakeAPStylebook,,,,,,,,,,,33,21,,,http://t.co/Lae7SiDePe,http://shortyawards.com/FakeAPStylebook?category=fakeaccount,134,,,,,ChicagoManual,Manual of Style,128960879,false,false,false,en,0,134
Fri Feb 14 20:40:45 +0000 2014,434427012443168768,@marisandres Thank you very much.,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,434178918614978562,137741426,marisandres,83883736,FakeAPStylebook,,,,,,,,,,,0,0,,,,,,,,,,marisandres,Marisa Andres,137741426,false,false,,en,0,33
Thu Feb 13 16:08:27 +0000 2014,433996097837486080,@smuttynosebabs Thank you very much.,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,433995589362417664,61197650,smuttynosebabs,83883736,FakeAPStylebook,,,,,,,,,,,1,0,,,,,,,,,,smuttynosebabs,"AJB, ME to DC",61197650,false,false,,en,0,36
Thu Feb 13 15:52:00 +0000 2014,433991958055649281,"FAPS co-founder Mark Hale is having a rough winter. If you've got a few bucks to spare, it would help tremendously. http://t.co/LkyYFnuxx8","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",false,,,,83883736,FakeAPStylebook,,,,,,,,,,,32,10,,,http://t.co/LkyYFnuxx8,http://ow.ly/tAMD5,138,,,,,,,,false,false,false,en,0,134
Thu Feb 06 22:45:15 +0000 2014,431559239723925505,"Journalists, please be respectful when covering these, the last Winter Olympics ever. #Sochi2014","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",false,,,,83883736,FakeAPStylebook,,,,,,,,,,,109,60,Sochi2014,,,,,,,,,,,,false,false,,en,0,96
Thu Feb 06 22:15:34 +0000 2014,431551770125697024,We honestly don't know how we're managing to offer usage guidelines with these accommodations. We are heroes. #Sochi2014,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",false,,,,83883736,FakeAPStylebook,,,,,,,,,,,49,37,Sochi2014,,,,,,,,,,,,false,false,,en,0,120
Thu Feb 06 21:45:40 +0000 2014,431544245535920128,JOURNALISTS: Do not look for a series of smaller and better hotel rooms hidden inside your current one. #Sochi2014,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",false,,,,83883736,FakeAPStylebook,,,,,,,,,,,217,112,Sochi2014,,,,,,,,,,,,false,false,,en,0,114
