CreatedAt,ID,ActualTweet,Source,Truncated,InReplyToStatusID,InReplyToUserID,InReplyToScreenName,UserID,UserScreenName,GEO,Coordinates,PlaceID,PlaceURL,PlaceType,PlaceName,PlaceFullName,PlaceCountryCode,PlaceCountry,Contributors,RetweetCount,FavouriteCount,Hashtags,Symbols,URL,URLInTweetExpanded,Indices,MediaIndices,MediaURL,MediaURLShort,MediaType,UserMentionScreenName,UserMentionName,UserMentionID,Favourited,Retweeted,PossiblySensitive,Language,Classifier,TweetLength
Wed Jul 09 00:26:06 +0000 2014,486667575607058432,"""I hope Germany wins. My ad bet all our reputation on them."" - National Council of Predictive Gods http://t.co/Ohe3QroqNT","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,180695887,FakeSTcom,,,,,,,,,,,32,7,,,,,,121,http://pbs.twimg.com/media/BsD9k5CCYAAcdJI.jpg,http://t.co/Ohe3QroqNT,photo,,,,false,false,false,en,0,121
Thu Jul 03 08:02:31 +0000 2014,484608109134901249,As the big date draws near and fans grow feverish... Everyone's making their predictions: What's in the NDP Fun Pack? http://t.co/WzdisrFwU9,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,180695887,FakeSTcom,,,,,,,,,,,0,0,,,http://t.co/WzdisrFwU9,http://www.straitstimes.com/news/singapore/more-singapore-stories/story/years-ndp-funpack-include-light-sticks-button-badges-and,140,,,,,,,,false,false,false,en,0,134
Tue Jun 24 02:55:14 +0000 2014,481269288083283968,"Singaporeans now divided into three groups: 

Pioneer (65 and above)
Middle Aged (55 to 65)
Young (55 and below)

#LimSweeAnyhowSay","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>",false,,,,180695887,FakeSTcom,,,,,,,,,,,27,2,LimSweeAnyhowSay,,,,,,,,,,,,false,false,,en,0,134
Tue Jun 24 02:54:03 +0000 2014,481268989377531904,"""It is clear in this context that 'young' refers to those who are aged 55"", Labour Chief says to ""clarify"" the issue. #LimSweeAnyhowSay","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>",false,,,,180695887,FakeSTcom,,,,,,,,,,,5,0,LimSweeAnyhowSay,,,,,,,,,,,,false,false,,en,0,134
Mon Jun 23 07:37:19 +0000 2014,480977888015958016,RT @SGAG_SG: Stay awake more by sleeping less #LimSweeAnyhowSay,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>",false,,,,180695887,FakeSTcom,,,,,,,,,,,97,0,LimSweeAnyhowSay,,,,,,,,,SGAG_SG,Mr. SGAG,606437303,false,false,,en,0,63
Mon Jun 23 07:25:34 +0000 2014,480974933724372993,"No need to buy N95 masks when there's haze, if you just breathe less #LimSweeAnyhowSay","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>",false,,,,180695887,FakeSTcom,,,,,,,,,,,18,2,LimSweeAnyhowSay,,,,,,,,,,,,false,false,,en,0,86
Mon Jun 23 07:21:18 +0000 2014,480973860104179712,Be less affected by public transport fare increases by walking to work #LimSweeAnyhowSay,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>",false,,,,180695887,FakeSTcom,,,,,,,,,,,14,2,LimSweeAnyhowSay,,,,,,,,,,,,false,false,,en,0,88
Mon Jun 23 07:20:26 +0000 2014,480973640230395904,Pay less taxes by earning less #LimSweeAnyhowSay,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>",false,,,,180695887,FakeSTcom,,,,,,,,,,,30,3,LimSweeAnyhowSay,,,,,,,,,,,,false,false,,en,0,48
Mon Jun 23 07:20:04 +0000 2014,480973546852605954,Reduce your medical bills by falling sick less #LimSweeAnyhowSay,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>",false,,,,180695887,FakeSTcom,,,,,,,,,,,28,3,LimSweeAnyhowSay,,,,,,,,,,,,false,false,,en,0,64
Mon Jun 23 07:18:30 +0000 2014,480973154567737345,"Labour Chief: ""Prepare for retirement by using less CPF money when young.""

Also, prepare for death by living more #LimSweeAnyhowSay","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>",false,,,,180695887,FakeSTcom,,,,,,,,,,,23,3,LimSweeAnyhowSay,,,,,,,,,,,,false,false,,en,0,134
