CreatedAt,ID,ActualTweet,Source,Truncated,InReplyToStatusID,InReplyToUserID,InReplyToScreenName,UserID,UserScreenName,GEO,Coordinates,PlaceID,PlaceURL,PlaceType,PlaceName,PlaceFullName,PlaceCountryCode,PlaceCountry,Contributors,RetweetCount,FavouriteCount,Hashtags,Symbols,URL,URLInTweetExpanded,Indices,MediaIndices,MediaURL,MediaURLShort,MediaType,UserMentionScreenName,UserMentionName,UserMentionID,Favourited,Retweeted,PossiblySensitive,Language,Classifier,TweetLength
Tue Jun 17 01:47:17 +0000 2014,478715472033353728,RT @TheFreakingNFL: Soccer is so cute.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,261428872,FakeYahooNews,,,,,,,,,,,10,0,,,,,,,,,,TheFreakingNFL,TheFreaking NFL,383991683,false,false,,en,0,38
Wed Jun 11 02:35:16 +0000 2014,476553221180497922,Spurs bring the Heat,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,261428872,FakeYahooNews,,,,,,,,,,,1,2,,,,,,,,,,,,,false,false,,en,0,20
Tue Jun 10 15:59:18 +0000 2014,476393173715931136,Upper Deck announces Bergdahl trading cards.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,261428872,FakeYahooNews,,,,,,,,,,,4,2,,,,,,,,,,,,,false,false,,en,0,44
Thu Jun 13 13:44:26 +0000 2013,345174827163848705,There was a 4 car accident in Mexico today.  84 people died.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,261428872,FakeYahooNews,,,,,,,,,,,26,24,,,,,,,,,,,,,false,false,,en,0,60
Thu May 02 16:17:44 +0000 2013,329993116570497024,Breaking:  @AmandaBynes loses her shit.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,261428872,FakeYahooNews,,,,,,,,,,,16,8,,,,,,,,,,amandabynes,amanda bynes,243442402,false,false,,en,0,39
Mon Feb 04 15:01:50 +0000 2013,298446271327375361,Ray Lewis announces retirement after tear duct removal surgery.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,261428872,FakeYahooNews,,,,,,,,,,,27,4,,,,,,,,,,,,,false,false,,en,0,63
Tue Jan 29 20:50:13 +0000 2013,296359615229227008,Our sources at Facebook say it's raining.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,261428872,FakeYahooNews,,,,,,,,,,,16,7,,,,,,,,,,,,,false,false,,en,0,41
Mon Jan 28 14:20:42 +0000 2013,295899203270479872,"Chris Brown and Frank Ocean get into bitch fight in LA studio parking lot.  Hair was pulled, fingernails were broken.","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,261428872,FakeYahooNews,,,,,,,,,,,5,1,,,,,,,,,,,,,false,false,,en,0,117
Mon Jan 28 14:11:29 +0000 2013,295896885321945089,"Breaking: According to multiple eyewitnesses, today is Monday.","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,261428872,FakeYahooNews,,,,,,,,,,,31,8,,,,,,,,,,,,,false,false,,en,0,62
Thu Jan 24 21:56:44 +0000 2013,294564418862346241,Breaking: Taylor Swift seen holding hands with Manti Te'o's girlfriend.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,261428872,FakeYahooNews,,,,,,,,,,,7,1,,,,,,,,,,,,,false,false,,en,0,71
