CreatedAt,ID,ActualTweet,Source,Truncated,InReplyToStatusID,InReplyToUserID,InReplyToScreenName,UserID,UserScreenName,GEO,Coordinates,PlaceID,PlaceURL,PlaceType,PlaceName,PlaceFullName,PlaceCountryCode,PlaceCountry,Contributors,RetweetCount,FavouriteCount,Hashtags,Symbols,URL,URLInTweetExpanded,Indices,MediaIndices,MediaURL,MediaURLShort,MediaType,UserMentionScreenName,UserMentionName,UserMentionID,Favourited,Retweeted,PossiblySensitive,Language,Classifier,TweetLength
Fri Jul 11 15:08:20 +0000 2014,487614372660150273,Universal Pictures finished Fast &amp; Furious 7 on the eve of what would have been its premiere: http://t.co/z4csjd1RQm http://t.co/P5PKROlFSL,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,91478624,Forbes,,,,,,,,,,,34,16,,,http://t.co/z4csjd1RQm,http://onforb.es/1kdngm0,120,143,http://pbs.twimg.com/media/BsRasDRIQAAnwcQ.jpg,http://t.co/P5PKROlFSL,photo,,,,false,false,false,en,1,134
Fri Jul 11 14:59:54 +0000 2014,487612248936837122,RT @zogblog: The one thing Garth Brooks got wrong with his comeback announcement (and how he can fix it): http://t.co/zZ3oMnx2kt via @forbes,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,91478624,Forbes,,,,,,,,,,,7,0,,,http://t.co/zZ3oMnx2kt,http://onforb.es/1s377r1,128,,,,,Forbes,Forbes,91478624,false,false,false,en,1,134
Fri Jul 11 14:55:04 +0000 2014,487611033914454017,The US &amp; China have set upon a course to try &amp; resolve their seemingly intractable differences over climate change: http://t.co/7EHHSzNdkt,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,91478624,Forbes,,,,,,,,,,,19,15,,,http://t.co/7EHHSzNdkt,http://onforb.es/1rdWKOm,146,,,,,,,,false,false,false,en,1,134
Fri Jul 11 14:34:35 +0000 2014,487605879077089280,"Yo has inadvertently gone viral, attracting more than 2 million downloads: http://t.co/VSd6ThdAjA http://t.co/gF4D6cc1De","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,91478624,Forbes,,,,,,,,,,,118,62,,,http://t.co/VSd6ThdAjA,http://onforb.es/1rdQ6HS,97,120,http://pbs.twimg.com/media/BsRS9qQIMAAOmKX.png,http://t.co/gF4D6cc1De,photo,,,,false,false,false,en,1,120
Fri Jul 11 14:19:21 +0000 2014,487602046775099393,"Wells Fargo reported that, while revenue slipped, it was able to grow its profit compared to the prior-year period: http://t.co/bGAmfIZrSz","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,91478624,Forbes,,,,,,,,,,,27,18,,,http://t.co/bGAmfIZrSz,http://onforb.es/1qQE48h,138,,,,,,,,false,false,false,en,1,134
Fri Jul 11 14:17:31 +0000 2014,487601584797650944,Apple's App Store celebrated its sixth birthday yesterday: http://t.co/W16qH3TkUj,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,91478624,Forbes,,,,,,,,,,,41,28,,,http://t.co/W16qH3TkUj,http://onforb.es/1kdjc57,81,,,,,,,,false,false,false,en,1,81
Fri Jul 11 14:04:11 +0000 2014,487598230201708544,The dust is starting to settle around the revelation that Facebook manipulated users' emotions for science. What now? http://t.co/8L1IUOSUZf,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,91478624,Forbes,,,,,,,,,,,52,27,,,http://t.co/8L1IUOSUZf,http://onforb.es/1qr4jjv,140,,,,,,,,false,false,false,en,1,134
Fri Jul 11 13:59:09 +0000 2014,487596960611061760,SungardASVoice: A road map for beating hackers at their own game [Infographic]  http://t.co/BbQDjz5vvj  @SungardAS,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,91478624,Forbes,,,,,,,,,,,13,15,,,http://t.co/BbQDjz5vvj,http://onforb.es/1oKw9G9,102,,,,,SungardAS,Sungard AS,21901408,false,false,false,en,1,114
Fri Jul 11 13:46:06 +0000 2014,487593678652063744,LG announced a rollable 18-inch OLED panel yesterday: http://t.co/3oXFciKyvK http://t.co/PARDtswA8e,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,91478624,Forbes,,,,,,,,,,,498,247,,,http://t.co/3oXFciKyvK,http://onforb.es/1q3vYLv,76,99,http://pbs.twimg.com/media/BsRH3f-IYAANZVU.jpg,http://t.co/PARDtswA8e,photo,,,,false,false,false,en,1,99
Fri Jul 11 13:38:14 +0000 2014,487591700123353088,Amazon asked FAA for exemption from rules prohibiting use of drones for commercial purposes: http://t.co/VGJ78ldajB http://t.co/iSfvV84ATv,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,91478624,Forbes,,,,,,,,,,,166,85,,,http://t.co/VGJ78ldajB,http://onforb.es/1qQvgiy,115,138,http://pbs.twimg.com/media/BsRGEUtIMAEA2cd.jpg,http://t.co/iSfvV84ATv,photo,,,,false,false,false,en,1,134
