CreatedAt,ID,ActualTweet,Source,Truncated,InReplyToStatusID,InReplyToUserID,InReplyToScreenName,UserID,UserScreenName,GEO,Coordinates,PlaceID,PlaceURL,PlaceType,PlaceName,PlaceFullName,PlaceCountryCode,PlaceCountry,Contributors,RetweetCount,FavouriteCount,Hashtags,Symbols,URL,URLInTweetExpanded,Indices,MediaIndices,MediaURL,MediaURLShort,MediaType,UserMentionScreenName,UserMentionName,UserMentionID,Favourited,Retweeted,PossiblySensitive,Language,Classifier,TweetLength
Wed Jul 09 09:40:19 +0000 2014,486807050748710912,Isis seizes former chemical weapons plant in Iraq http://t.co/hTmQ3tkFma @guardianworld,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",false,,,,87818409,guardian,,,,,,,,,,,6,0,,,http://t.co/hTmQ3tkFma,http://gu.com/p/3qnp6/tw,72,,,,,guardianworld,Guardian World,156651229,false,false,false,en,1,87
Wed Jul 09 09:35:03 +0000 2014,486805721720586240,"Butler-Sloss wrong person to head abuse inquiry, says Danczuk: Politics live blog http://t.co/qeUUPYshSR","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",false,,,,87818409,guardian,,,,,,,,,,,14,2,,,http://t.co/qeUUPYshSR,http://gu.com/p/3qnzj,104,,,,,,,,false,false,false,en,1,104
Wed Jul 09 09:30:26 +0000 2014,486804560212946944,Katniss tipped to be among most popular baby names in 2014 http://t.co/OMEvJy5Sco @guardianculture,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",false,,,,87818409,guardian,,,,,,,,,,,24,12,,,http://t.co/OMEvJy5Sco,http://gu.com/p/3qnpx,81,,,,,guardianculture,Guardian culture,46400289,false,false,false,en,1,98
Wed Jul 09 09:28:21 +0000 2014,486804036243685377,Wetherspoon reports weaker sales during World Cup http://t.co/V3jyszC6IP,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",false,,,,87818409,guardian,,,,,,,,,,,8,0,,,http://t.co/V3jyszC6IP,http://gu.com/p/3qnq7/tw,72,,,,,,,,false,false,false,en,1,72
Wed Jul 09 09:26:30 +0000 2014,486803572399804416,World Cup 2014: Brazil mourns a humiliating defeat ? in pictures http://t.co/NgR4DQ2erl #worldcup http://t.co/qxxkfmSnTN,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",false,,,,87818409,guardian,,,,,,,,,,,129,54,worldcup,,http://t.co/NgR4DQ2erl,http://gu.com/p/3qnkf/tw,87,120,http://pbs.twimg.com/media/BsF5RQ_IAAEqcEw.jpg,http://t.co/qxxkfmSnTN,photo,,,,false,false,false,en,1,120
Wed Jul 09 09:19:19 +0000 2014,486801763878858752,?ngel di Mar?a heads up Louis van Gaal?s Manchester United wish list http://t.co/DCREvKNDYt @Guardian_sport #worldcup,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",false,,,,87818409,guardian,,,,,,,,,,,19,7,worldcup,,http://t.co/DCREvKNDYt,http://gu.com/p/3qnqx/tw,91,,,,,guardian_sport,Guardian sport,46403451,false,false,false,cy,1,117
Wed Jul 09 09:10:21 +0000 2014,486799506076225536,Argentina v Holland: five things to look out for in the World Cup semi-final http://t.co/0Df60zuSPz #worldcup @guardian_sport,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",false,,,,87818409,guardian,,,,,,,,,,,26,17,worldcup,,http://t.co/0Df60zuSPz,http://gu.com/p/3qnc9,99,,,,,guardian_sport,Guardian sport,46403451,false,false,false,en,1,125
Wed Jul 09 09:00:28 +0000 2014,486797018615271424,"UK house prices fell 0.6% in June, Halifax reports - business live http://t.co/0OT94Z7m5B @BusinessDesk","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",false,,,,87818409,guardian,,,,,,,,,,,10,4,,,http://t.co/0OT94Z7m5B,http://gu.com/p/3qnzx/tw,89,,,,,BusinessDesk,Guardian Business,25070893,false,false,false,en,1,103
Wed Jul 09 08:52:27 +0000 2014,486795002756857858,Multistorey car park in US transformed into designer micro-apartments:  http://t.co/Eu8f2NnSb6,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",false,,,,87818409,guardian,,,,,,,,,,,25,16,,,http://t.co/Eu8f2NnSb6,http://gu.com/p/3qynh,94,,,,,,,,false,false,false,da,1,94
Wed Jul 09 08:51:54 +0000 2014,486794864265527296,Football transfer rumours: Arsenal to continue spree with Sami Khedira signing? http://t.co/l5xegkbAKs @Guardian_sport #worldcup,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",false,,,,87818409,guardian,,,,,,,,,,,18,10,worldcup,,http://t.co/l5xegkbAKs,http://gu.com/p/3qnpf/tw,102,,,,,guardian_sport,Guardian sport,46403451,false,false,false,en,1,128
