CreatedAt,ID,ActualTweet,Source,Truncated,InReplyToStatusID,InReplyToUserID,InReplyToScreenName,UserID,UserScreenName,GEO,Coordinates,PlaceID,PlaceURL,PlaceType,PlaceName,PlaceFullName,PlaceCountryCode,PlaceCountry,Contributors,RetweetCount,FavouriteCount,Hashtags,Symbols,URL,URLInTweetExpanded,Indices,MediaIndices,MediaURL,MediaURLShort,MediaType,UserMentionScreenName,UserMentionName,UserMentionID,Favourited,Retweeted,PossiblySensitive,Language,Classifier,TweetLength
Mon Jul 14 09:03:10 +0000 2014,488609638405767168,"Despite offensive, Hamas still firing rockets at Israel http://t.co/IQ3rjYJH5M","<a href=""http://www.huffingtonpost.com"" rel=""nofollow"">The Huffington Post</a>",false,,,,14511951,HuffingtonPost,,,,,,,,,,,31,13,,,http://t.co/IQ3rjYJH5M,http://huff.to/1yfU6La,78,,,,,,,,false,false,false,en,1,78
Mon Jul 14 07:56:09 +0000 2014,488592773201657856,What is that smell?!? http://t.co/ABhnhdKtEI,"<a href=""http://www.huffingtonpost.com"" rel=""nofollow"">The Huffington Post</a>",false,,,,14511951,HuffingtonPost,,,,,,,,,,,9,15,,,http://t.co/ABhnhdKtEI,http://huff.to/1r9Za2Y,44,,,,,,,,false,false,false,en,1,44
Mon Jul 14 07:47:10 +0000 2014,488590511624556544,"""American Horror Story: Freakshow"" gets a terrifying first teaser, introduces Killer Clown and Fallen Angel http://t.co/Pywh11uJCZ","<a href=""http://www.huffingtonpost.com"" rel=""nofollow"">The Huffington Post</a>",false,,,,14511951,HuffingtonPost,,,,,,,,,,,159,142,,,http://t.co/Pywh11uJCZ,http://huff.to/1r9Ylr2,130,,,,,,,,false,false,false,en,1,134
Mon Jul 14 05:54:09 +0000 2014,488562073350062081,$7 billion Citigroup settlement announcement expected Monday http://t.co/kyAfrUsBO2,"<a href=""http://www.huffingtonpost.com"" rel=""nofollow"">The Huffington Post</a>",false,,,,14511951,HuffingtonPost,,,,,,,,,,,31,17,,,http://t.co/kyAfrUsBO2,http://huff.to/1yflysJ,83,,,,,,,,false,false,false,en,1,83
Mon Jul 14 04:49:09 +0000 2014,488545714033917952,Fire at 30 Rock injures 6 http://t.co/ucCWCEQN7L,"<a href=""http://www.huffingtonpost.com"" rel=""nofollow"">The Huffington Post</a>",false,,,,14511951,HuffingtonPost,,,,,,,,,,,24,13,,,http://t.co/ucCWCEQN7L,http://huff.to/1yfaewL,48,,,,,,,,false,false,false,en,1,48
Mon Jul 14 01:30:18 +0000 2014,488495672270671872,RT @HuffPostWeird: Dad claims kingdom so 7-year-old can be real princess http://t.co/Pz55vylQFO,"<a href=""http://www.huffingtonpost.com"" rel=""nofollow"">The Huffington Post</a>",false,,,,14511951,HuffingtonPost,,,,,,,,,,,58,0,,,http://t.co/Pz55vylQFO,http://huff.to/1r8mwGr,95,,,,,HuffPostWeird,HuffPost Weird News,125567504,false,false,false,en,1,95
Mon Jul 14 00:36:09 +0000 2014,488482044393963522,Colbie Caillat undergoes an extreme make-under in this powerful anti-Photoshop music video http://t.co/lFY0KfSAEM,"<a href=""http://www.huffingtonpost.com"" rel=""nofollow"">The Huffington Post</a>",false,,,,14511951,HuffingtonPost,,,,,,,,,,,192,219,,,http://t.co/lFY0KfSAEM,http://huff.to/1r8jHFg,113,,,,,,,,false,false,false,en,1,113
Mon Jul 14 00:31:09 +0000 2014,488480786908078080,The milestones new parents should actually care about http://t.co/p4iupQcdsc,"<a href=""http://www.huffingtonpost.com"" rel=""nofollow"">The Huffington Post</a>",false,,,,14511951,HuffingtonPost,,,,,,,,,,,40,72,,,http://t.co/p4iupQcdsc,http://huff.to/1y0jgNZ,76,,,,,,,,false,false,false,en,1,76
Mon Jul 14 00:26:09 +0000 2014,488479527652175872,"Michael Bay's latest ""barrage of nonsense and noise"" is now the world's number one movie http://t.co/e150ivuDrF","<a href=""http://www.huffingtonpost.com"" rel=""nofollow"">The Huffington Post</a>",false,,,,14511951,HuffingtonPost,,,,,,,,,,,67,59,,,http://t.co/e150ivuDrF,http://huff.to/1r8VP4o,111,,,,,,,,false,false,false,en,1,111
Mon Jul 14 00:21:10 +0000 2014,488478273655939072,Sarah Michelle Gellar now selling lemonade to earn a living http://t.co/T1AsSs64Ib,"<a href=""http://www.huffingtonpost.com"" rel=""nofollow"">The Huffington Post</a>",false,,,,14511951,HuffingtonPost,,,,,,,,,,,39,47,,,http://t.co/T1AsSs64Ib,http://huff.to/1ydJWef,82,,,,,,,,false,false,false,en,1,82
