CreatedAt,ID,ActualTweet,Source,Truncated,InReplyToStatusID,InReplyToUserID,InReplyToScreenName,UserID,UserScreenName,GEO,Coordinates,PlaceID,PlaceURL,PlaceType,PlaceName,PlaceFullName,PlaceCountryCode,PlaceCountry,Contributors,RetweetCount,FavouriteCount,Hashtags,Symbols,URL,URLInTweetExpanded,Indices,MediaIndices,MediaURL,MediaURLShort,MediaType,UserMentionScreenName,UserMentionName,UserMentionID,Favourited,Retweeted,PossiblySensitive,Language,Classifier,TweetLength
Fri Jul 11 15:07:45 +0000 2014,487614224160804864,Why the UK's railways are entering a new golden age http://t.co/S62DPDWZax http://t.co/FwwkFIsXYT,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,16973333,Independent,,,,,,,,,,,4,7,,,http://t.co/S62DPDWZax,http://ind.pn/1m0ySs9,74,97,http://pbs.twimg.com/media/BsRajXuCcAEy3Ha.jpg,http://t.co/FwwkFIsXYT,photo,,,,false,false,false,en,1,97
Fri Jul 11 15:02:34 +0000 2014,487612919862280192,Prepare for flight delays this weekend http://t.co/4Mbgu8cwWY http://t.co/oy8CuSH7SP,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,16973333,Independent,,,,,,,,,,,8,2,,,http://t.co/4Mbgu8cwWY,http://ind.pn/TXegKv,61,84,http://pbs.twimg.com/media/BsRZXc1CYAADJm3.jpg,http://t.co/oy8CuSH7SP,photo,,,,false,false,false,en,1,84
Fri Jul 11 15:01:03 +0000 2014,487612541208895488,Are regional accents discriminated against? Hilary Devey tells it like it is http://t.co/HGXSB29LVe http://t.co/nxNsFdUk3I,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,16973333,Independent,,,,,,,,,,,15,5,,,http://t.co/HGXSB29LVe,http://ind.pn/TXe51Q,99,122,http://pbs.twimg.com/media/BsRZBZyCUAAfOqs.jpg,http://t.co/nxNsFdUk3I,photo,,,,false,false,false,en,1,122
Fri Jul 11 15:00:17 +0000 2014,487612346198933504,Why the moon will look bigger and brighter this summer http://t.co/SmrKL6KWx6 http://t.co/0knDsAsWBP,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,16973333,Independent,,,,,,,,,,,20,15,,,http://t.co/SmrKL6KWx6,http://ind.pn/TWyioE,77,100,http://pbs.twimg.com/media/BsRY2DeCMAA-XPm.jpg,http://t.co/0knDsAsWBP,photo,,,,false,false,false,en,1,100
Fri Jul 11 14:54:11 +0000 2014,487610811847041024,"You can't turn your back for a second. Fire brigade warning after toddler stuck in mop bucket 
http://t.co/IAfg6vbAmY http://t.co/HIyCtSHT8X","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,16973333,Independent,,,,,,,,,,,43,19,,,http://t.co/IAfg6vbAmY,http://ind.pn/1oqfkPF,117,140,http://pbs.twimg.com/media/BsRXcvYCAAEB2E3.jpg,http://t.co/HIyCtSHT8X,photo,,,,false,false,false,en,1,134
Fri Jul 11 14:47:55 +0000 2014,487609236227375105,Steven Gerrard on Suarez http://t.co/45SSm1mr8d http://t.co/Sd3VGIjWD1,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,16973333,Independent,,,,,,,,,,,10,9,,,http://t.co/45SSm1mr8d,http://ind.pn/TXcGIJ,47,70,http://pbs.twimg.com/media/BsRWBCcCIAAhJpw.jpg,http://t.co/Sd3VGIjWD1,photo,,,,false,false,false,en,1,70
Fri Jul 11 14:45:26 +0000 2014,487608609174724608,RT @TheIndyPeople: This is @SeinaboSey . You're about to hear a lot about her. Find out why here: http://t.co/01zmrDfwyK http://t.co/oN5bnO?,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,16973333,Independent,,,,,,,,,,,9,0,,,http://t.co/01zmrDfwyK,http://ind.pn/1qrknSh,120,140,http://pbs.twimg.com/media/BsRVM7XCIAInYyL.jpg,http://t.co/oN5bnON0lu,photo,SeinaboSey,seinabo sey,23608596,false,false,false,en,1,134
Fri Jul 11 14:45:21 +0000 2014,487608587934760960,RT @TheIndyTV: Sanjeev Bhaskar to guest star in next Doctor Who finale http://t.co/zNNTbgP1d8 http://t.co/7GGPhVkuTK,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,16973333,Independent,,,,,,,,,,,15,0,,,http://t.co/zNNTbgP1d8,http://ind.pn/1y3xOMA,93,116,http://pbs.twimg.com/media/BsRVOy1CAAADGf0.jpg,http://t.co/7GGPhVkuTK,photo,TheIndyTV,IndyTV,540894116,false,false,false,en,1,116
Fri Jul 11 14:43:51 +0000 2014,487608210560671744,Clooney rejects Mail?s apology: 'They knew the story was false and printed it anyway' http://t.co/IIDfbcSIwh http://t.co/cDzuybb2UB,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,16973333,Independent,,,,,,,,,,,50,22,,,http://t.co/IIDfbcSIwh,http://ind.pn/1ndJ54W,108,131,http://pbs.twimg.com/media/BsRVFVXCYAIP2Jm.jpg,http://t.co/cDzuybb2UB,photo,,,,false,false,false,en,1,134
Fri Jul 11 14:32:41 +0000 2014,487605401215848448,Singapore bans library books that show gay couples http://t.co/RqFgiah7Oq http://t.co/xwFkyIq0Id,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,16973333,Independent,,,,,,,,,,,39,13,,,http://t.co/RqFgiah7Oq,http://ind.pn/TXb0z0,73,96,http://pbs.twimg.com/media/BsRShzYCIAMF0Ss.jpg,http://t.co/xwFkyIq0Id,photo,,,,false,false,false,en,1,96
