CreatedAt,ID,ActualTweet,Source,Truncated,InReplyToStatusID,InReplyToUserID,InReplyToScreenName,UserID,UserScreenName,GEO,Coordinates,PlaceID,PlaceURL,PlaceType,PlaceName,PlaceFullName,PlaceCountryCode,PlaceCountry,Contributors,RetweetCount,FavouriteCount,Hashtags,Symbols,URL,URLInTweetExpanded,Indices,MediaIndices,MediaURL,MediaURLShort,MediaType,UserMentionScreenName,UserMentionName,UserMentionID,Favourited,Retweeted,PossiblySensitive,Language,Classifier,TweetLength
Wed Jul 02 12:22:08 +0000 2014,484311057180418049,"RT @TimHowardGK: Biden/Howard 2016, the dream ticket!! Lol http://t.co/Kyed8WwdfX","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,620142261,KimKierkegaard,,,,,,,,,,,1380,0,,,,,,81,http://pbs.twimg.com/media/BqbuWdcCMAA66QE.jpg,http://t.co/Kyed8WwdfX,photo,TimHowardGK,tim howard,2511477648,false,false,false,en,0,81
Sun Jun 22 15:10:38 +0000 2014,480729580488376320,"The sea struck up its song with a deep, calm solemnity. The souls of the dead came forth to hold me in their comforting embrace. Yacht life.","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,620142261,KimKierkegaard,,,,,,,,,,,1093,860,,,,,,,,,,,,,false,false,,en,0,134
Fri Jun 20 14:28:09 +0000 2014,479994113295937537,Thank you Balmain for the custom rope dress! Only constraint can help a man to freedom.,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,620142261,KimKierkegaard,,,,,,,,,,,285,302,,,,,,,,,,,,,false,false,,en,0,87
Thu Jun 19 23:57:05 +0000 2014,479774903798099969,@BananaKarenina !! Brings back painful (yet tender) memories. How she used to hiss and hiss at me!,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,479772471143317505,541101047,BananaKarenina,620142261,KimKierkegaard,,,,,,,,,,,2,4,,,,,,,,,,BananaKarenina,Elif Batuman,541101047,false,false,,en,0,98
Thu Jun 19 23:31:07 +0000 2014,479768368682373120,"@BananaKarenina Madagascar hissing cockroaches are actually quite sweet, though a little ""clingy.""","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,479767214464053248,541101047,BananaKarenina,620142261,KimKierkegaard,,,,,,,,,,,1,3,,,,,,,,,,BananaKarenina,Elif Batuman,541101047,false,false,,en,0,98
Thu Jun 19 21:04:31 +0000 2014,479731475848642561,RT @erinmdurkin: .@BilldeBlasio administration comes out in support of the car wash licensing bill.,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,620142261,KimKierkegaard,,,,,,,,,,,6,0,,,,,,,,,,BilldeBlasio,Bill de Blasio,19834403,false,false,,en,0,99
Thu Jun 19 21:04:27 +0000 2014,479731460656889856,"RT @erinmdurkin: .@MMViverito: Carwash workers ""do not always get paid the min wage, seldom get overtime...have tips taken from them right ?","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,620142261,KimKierkegaard,,,,,,,,,,,6,0,,,,,,,,,,MMViverito,Melissa MarkViverito,94013297,false,false,,en,0,134
Thu Jun 19 15:53:38 +0000 2014,479653239760375808,I change up my makeup a lot. I am completely dialectical.,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,620142261,KimKierkegaard,,,,,,,,,,,243,230,,,,,,,,,,,,,false,false,,en,0,57
Wed Jun 18 16:05:17 +0000 2014,479293784858320896,"When I step out from my lonely suffering and walk among happy people, it's the epitome of timeless chic.","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,620142261,KimKierkegaard,,,,,,,,,,,455,396,,,,,,,,,,,,,false,false,,en,0,104
Tue Jun 17 22:23:22 +0000 2014,479026541561925632,"I love your Tumblr's infinite scroll-down feature &amp; the unfathomable, insatiable emptiness behind it.","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,620142261,KimKierkegaard,,,,,,,,,,,1422,1262,,,,,,,,,,,,,false,false,,en,0,105
Mon Jun 16 18:30:01 +0000 2014,478605432953778176,"Those who speak to the crowd, coveting its approval, must be regarded as being worse than prostitutes. Oh, hey 100,000 people!","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,620142261,KimKierkegaard,,,,,,,,,,,314,307,,,,,,,,,,,,,false,false,,en,0,126
Mon Jun 16 04:03:28 +0000 2014,478387355234340864,RT @Esquiremag: How to Quit Amazon and Shop in an Actual Bookstore (in 4 Easy Steps) http://t.co/gn5bpLpwT0 by @StephenMarche,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,620142261,KimKierkegaard,,,,,,,,,,,79,0,,,http://t.co/gn5bpLpwT0,http://esqm.ag/6011cU9U,107,,,,,StephenMarche,Stephen Marche,233930147,false,false,false,en,0,125
Sat Jun 14 18:54:29 +0000 2014,477886812216893441,Look what I found in my luggage!!! All my worldly troubles and sorrows.,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,620142261,KimKierkegaard,,,,,,,,,,,729,682,,,,,,,,,,,,,false,false,,en,0,71
Sat Jun 14 15:30:12 +0000 2014,477835404037853184,My look is never complete without indescribable suffering.,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,620142261,KimKierkegaard,,,,,,,,,,,1445,1083,,,,,,,,,,,,,false,false,,en,0,58
Fri Jun 13 18:49:55 +0000 2014,477523275044913153,Kim Kierkegaardashian endorses! MT @MaketheRoadNY Why should YOU donate to our immigrant rights work? http://t.co/70LN9SYfMX,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,620142261,KimKierkegaard,,,,,,,,,,,2,7,,,http://t.co/70LN9SYfMX,http://bit.ly/MRNYtamiko,124,,,,,MaketheRoadNY,MaketheRoadNewYork,141286022,false,false,false,en,0,124
Fri Jun 13 14:34:47 +0000 2014,477459069779714049,One must work some time in darkness before the light bursts through &amp; the sun shines forth in all its glory. Tan time! So excited.,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,620142261,KimKierkegaard,,,,,,,,,,,938,632,,,,,,,,,,,,,false,false,,en,0,134
Thu Jun 12 14:12:18 +0000 2014,477091021772570625,"A man does not arrive at wisdom as a matter of course, but through sexy bikinis, beaches, and boat rides.","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,620142261,KimKierkegaard,,,,,,,,,,,542,410,,,,,,,,,,,,,false,false,,en,0,105
Wed Jun 11 20:14:42 +0000 2014,476819838099550210,@HephzibahA Why I recommend waxing your knuckles rather than shaving them.,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,476181049048068096,21260277,HephzibahA,620142261,KimKierkegaard,,,,,,,,,,,0,10,,,,,,,,,,HephzibahA,Hephzibah Anderson,21260277,false,false,,en,0,74
Tue Jun 10 05:07:31 +0000 2014,476229146205769728,"We love selfies! The despairing self, by taking notice of itself, tries to make itself more than it already is.","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,620142261,KimKierkegaard,,,,,,,,,,,1808,1160,,,,,,,,,,,,,false,false,,en,0,111
Tue Jun 10 04:35:57 +0000 2014,476221204244992002,"""Tween cattle rustler"" is a good look for summer. RT @BananaKarenina Dear @TweenHobo! TY for the swag! http://t.co/yx4qig8atO","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,476106201638649856,541101047,BananaKarenina,620142261,KimKierkegaard,,,,,,,,,,,4,26,,,,,,125,http://pbs.twimg.com/media/Bpt4EVJIMAE4nrl.jpg,http://t.co/yx4qig8atO,photo,TweenHobo,Tween Hobo,427588306,false,false,false,en,0,125
Mon Jun 02 19:44:53 +0000 2014,473550841610518528,Should I use my sins to terrify the public?Or should I keep this terror hidden in my innermost being? Trying on a few looks 2 see what works,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,620142261,KimKierkegaard,,,,,,,,,,,929,651,,,,,,,,,,,,,false,false,,en,0,134
Sun Jun 01 19:26:18 +0000 2014,473183778102583296,"Balmain made this crazy tapestry dress of all stones, to give my contemporaries a hint of the heavy burdens I bear within myself.","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,620142261,KimKierkegaard,,,,,,,,,,,511,470,,,,,,,,,,,,,false,false,,en,0,134
Fri May 30 17:14:28 +0000 2014,472425823363170304,"RT @charugan: The third place winner (loser?) of the spelling bee went out on the word ""Kierkegaardian"".","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,620142261,KimKierkegaard,,,,,,,,,,,35,0,,,,,,,,,,charugan,Landon Rordam,75862435,false,false,,en,0,104
Thu May 29 21:31:18 +0000 2014,472128072368799745,"The task is not to find the lovable object. It is rather to find the object lovable, just by adding a fun lip color.","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,620142261,KimKierkegaard,,,,,,,,,,,778,546,,,,,,,,,,,,,false,false,,en,0,116
Thu May 29 00:01:58 +0000 2014,471803598956154880,"Love is not intense feelings or a full heart. Love is rather the work of love, and I have had a busy week.","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,620142261,KimKierkegaard,,,,,,,,,,,341,326,,,,,,,,,,,,,false,false,,en,0,106
Fri May 23 17:35:37 +0000 2014,469894433924993024,"For events, I like to pair bold lashes with a gnawing sense of futility.","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,620142261,KimKierkegaard,,,,,,,,,,,1764,1154,,,,,,,,,,,,,false,false,,en,0,72
Wed May 21 00:31:14 +0000 2014,468911860277055489,"RT @barerliterary: Great piece by @magiciansbook about why we all should try &amp; quit shopping at Amazon. I'm going to, will you? http://t.co?","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,620142261,KimKierkegaard,,,,,,,,,,,31,0,,,http://t.co/gpRYzSYcqb,http://slnm.us/UKf7lFb,144,,,,,magiciansbook,Laura Miller,15985960,false,false,false,en,0,134
Tue May 20 01:15:01 +0000 2014,468560493624315906,@AragiAuthorNews @anissahelou @eccobooks I would do it.,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,468535540107603968,256073990,AragiAuthorNews,620142261,KimKierkegaard,,,,,,,,,,,1,1,,,,,,,,,,eccobooks,Ecco Books,25687502,false,false,,en,0,55
Mon May 19 13:49:16 +0000 2014,468387918965268480,Khloe sets the #YOLO bar pretty high. But she loses the present in the constant anxiety about losing it.,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,620142261,KimKierkegaard,,,,,,,,,,,511,448,YOLO,,,,,,,,,,,,false,false,,en,0,104
Mon May 19 04:04:35 +0000 2014,468240776796049408,.@SalmanRushdie @RushdieExplains OMG love your work!! #TheSatanicPurses #TheMoorsFatThighs xxoo #Shame on me,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,468129754835472386,373416209,SalmanRushdie,620142261,KimKierkegaard,,,,,,,,,,,45,83,Shame,,,,,,,,,RushdieExplains,RushdieExplainsIndia,2503480063,false,false,,en,0,108
Sun May 18 15:48:21 +0000 2014,468055498718449664,RT @melflashman: James Patterson on the war between Amazon &amp; the future of writing and reading. https://t.co/XMVQw5VWiI,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,620142261,KimKierkegaard,,,,,,,,,,,19,0,,,https://t.co/XMVQw5VWiI,https://www.facebook.com/notes/james-patterson/please-take-a-moment-to-read-this/745751215464869,123,,,,,melflashman,melissa flashman,14548848,false,false,false,en,0,123
