CreatedAt,ID,ActualTweet,Source,Truncated,InReplyToStatusID,InReplyToUserID,InReplyToScreenName,UserID,UserScreenName,GEO,Coordinates,PlaceID,PlaceURL,PlaceType,PlaceName,PlaceFullName,PlaceCountryCode,PlaceCountry,Contributors,RetweetCount,FavouriteCount,Hashtags,Symbols,URL,URLInTweetExpanded,Indices,MediaIndices,MediaURL,MediaURLShort,MediaType,UserMentionScreenName,UserMentionName,UserMentionID,Favourited,Retweeted,PossiblySensitive,Language,Classifier,TweetLength
Mon Jul 07 15:17:42 +0000 2014,486167178287542273,"GUYS, teenagers stay up late using the Internets, and The Times is ON IT. http://t.co/g1fgdjbxO5","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,297556877,NYTOnIt,,,,,,,,,,,59,40,,,http://t.co/g1fgdjbxO5,http://nyti.ms/1rHDefE,96,,,,,,,,false,false,false,en,0,96
Thu Jun 19 22:20:12 +0000 2014,479750522984222720,....don't join a skipping club...,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,297556877,NYTOnIt,,,,,,,,,,,8,23,,,,,,,,,,,,,false,false,,en,0,33
Thu Jun 19 22:13:27 +0000 2014,479748822537867264,"GUYS, some Millennials have a next-level love for skipping, and The Times is ON IT. http://t.co/sHU7D9F7bd","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,297556877,NYTOnIt,,,,,,,,,,,21,15,,,http://t.co/sHU7D9F7bd,http://nyti.ms/1idzKyD,106,,,,,,,,false,false,false,en,0,106
Mon Jun 16 21:36:47 +0000 2014,478652430952198144,"GUYS, kids today just don't like voice mails, and The Times is ON IT. http://t.co/BNLvIKqe5N","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,297556877,NYTOnIt,,,,,,,,,,,29,19,,,http://t.co/BNLvIKqe5N,http://nyti.ms/1uyQv7k,92,,,,,,,,false,false,false,en,0,92
Thu Jun 12 12:11:17 +0000 2014,477060568583790592,"GUYS, sneakers are fashion items, and The Times is ON IT. http://t.co/Ywh4PCX43S","<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>",false,,,,297556877,NYTOnIt,,,,,,,,,,,29,17,,,http://t.co/Ywh4PCX43S,http://nyti.ms/1plA2Wk,80,,,,,,,,false,false,false,en,0,80
Wed Jun 04 13:52:04 +0000 2014,474186827654778880,"GUYS, Maureen Dowd got high off a pot cookie, and The Times is ON IT. http://t.co/9BngVygDEw","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,297556877,NYTOnIt,,,,,,,,,,,50,28,,,http://t.co/9BngVygDEw,http://nyti.ms/1iUXnX8,92,,,,,,,,false,false,false,en,0,92
Thu May 15 15:03:19 +0000 2014,466957003039199233,"RT @aoscott: In other news: giant monsters trample cities. (and, as they say, the New York Times is on it.) http://t.co/UFQQJ5EtTk","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,297556877,NYTOnIt,,,,,,,,,,,15,0,,,http://t.co/UFQQJ5EtTk,http://nyti.ms/1iOYBSZ,130,,,,,aoscott,a. o. scott,109275829,false,false,false,en,0,134
Mon May 05 13:55:37 +0000 2014,463316086247919617,"GUYS, imagen if Gerge and Jery create parody Twitter accounts. The Tiems would be ON IT. http://t.co/aJbBlUB4a4","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,297556877,NYTOnIt,,,,,,,,,,,8,12,,,http://t.co/aJbBlUB4a4,http://nyti.ms/Q4NHBj,111,,,,,,,,false,false,false,en,0,111
Mon May 05 03:14:21 +0000 2014,463154705439666177,"GUYS, we are pretty #blessed to have articles like this one. http://t.co/UYG5iUiqup","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>",false,,,,297556877,NYTOnIt,,,,,,,,,,,40,41,blessed,,http://t.co/UYG5iUiqup,http://nyti.ms/Q4KNMT,83,,,,,,,,false,false,false,en,0,83
Thu May 01 13:26:04 +0000 2014,461859099693826048,"GUYS, some women have short hair, and The Times is ON IT. http://t.co/xQcjFES1Li","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,297556877,NYTOnIt,,,,,,,,,,,58,46,,,http://t.co/xQcjFES1Li,http://nyti.ms/1mhpmr9,80,,,,,,,,false,false,false,en,0,80
Fri Apr 25 04:07:33 +0000 2014,459544216662970368,"GUYS, the big blue whale in the Museum of Natural History isn't going to fall, and The Times is ON IT. http://t.co/hmxveYV229","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>",false,,,,297556877,NYTOnIt,,,,,,,,,,,19,25,,,http://t.co/hmxveYV229,http://nyti.ms/1mFYZaU,125,,,,,,,,false,false,false,en,0,125
Fri Apr 11 02:30:34 +0000 2014,454446378039934978,"GUYS, it's pretty hard to get into top colleges, and The Times is ON IT. http://t.co/fRgj2H4mB1","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>",false,,,,297556877,NYTOnIt,,,,,,,,,,,24,36,,,http://t.co/fRgj2H4mB1,http://nyti.ms/1kP9sPw,95,,,,,,,,false,false,false,en,0,95
Mon Mar 24 17:01:58 +0000 2014,448142690052759552,"GUYS, The Times' trend pieces aren't actually about real trends, and The Times is ON IT. http://t.co/fivhTP6vCt","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,297556877,NYTOnIt,,,,,,,,,,,45,32,,,http://t.co/fivhTP6vCt,http://nyti.ms/1mqBp43,111,,,,,,,,false,false,false,en,0,111
Mon Mar 10 02:09:58 +0000 2014,442844783841910784,"GUYS, there are a lot of good shows on the Tee Vee, and The Times is ON IT. http://t.co/tYhZ82ZEYS","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>",false,,,,297556877,NYTOnIt,,,,,,,,,,,27,27,,,http://t.co/tYhZ82ZEYS,http://nyti.ms/1ipu9jY,98,,,,,,,,false,false,false,en,0,98
Thu Mar 06 19:32:24 +0000 2014,441657567312637952,RT @loisbeckett: It's time to fact-check the NYT Style section: http://t.co/fDvb94BiDJ,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,297556877,NYTOnIt,,,,,,,,,,,41,0,,,http://t.co/fDvb94BiDJ,http://bit.ly/1jW1WD6,86,,,,,loisbeckett,Lois Beckett,21134925,false,false,false,en,0,86
Thu Mar 06 18:02:18 +0000 2014,441634892066349056,RT @history1800s: 120 yrs ago New York Tribune declared the #monocle entirely over / 3/18/1894: http://t.co/qfHrEvXM5E,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,297556877,NYTOnIt,,,,,,,,,,,85,0,monocle,,,,,118,http://pbs.twimg.com/media/BiBABr_CYAAU6WT.jpg,http://t.co/qfHrEvXM5E,photo,history1800s,Robert McNamara,27652816,false,false,false,en,0,118
Thu Mar 06 14:42:01 +0000 2014,441584492655173632,"GUYS, monocles are the latest hipster accessory, and The Times is ON IT. http://t.co/3zp29X1Hk3","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,297556877,NYTOnIt,,,,,,,,,,,50,26,,,http://t.co/3zp29X1Hk3,http://nyti.ms/NABeom,95,,,,,,,,false,false,false,en,0,95
Mon Feb 24 05:00:42 +0000 2014,437814319989133312,"GUYS, some women are taking intentionally unflattering selfies, and The Times is ON IT. http://t.co/G2sEoigb1M","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>",false,,,,297556877,NYTOnIt,,,,,,,,,,,63,43,,,http://t.co/G2sEoigb1M,http://nyti.ms/Mn6MNi,110,,,,,,,,false,false,false,en,0,110
Fri Feb 21 15:03:48 +0000 2014,436878928406650881,"GUYS, Upper....Manhattan? There's some stuff up there. The Times is ON IT. http://t.co/nn4LqyAeVI","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,297556877,NYTOnIt,,,,,,,,,,,30,27,,,http://t.co/nn4LqyAeVI,http://nyti.ms/1jUS5Qn,97,,,,,,,,false,false,false,en,0,97
Thu Feb 13 04:51:12 +0000 2014,433825660759711744,"GUYS, boobs! The Times is ON IT. http://t.co/Z6oYnCNvw5","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>",false,,,,297556877,NYTOnIt,,,,,,,,,,,30,33,,,http://t.co/Z6oYnCNvw5,http://nyti.ms/MefTQP,55,,,,,,,,false,false,false,en,0,55
Mon Feb 10 15:44:50 +0000 2014,432902988265693184,"GUYS, lots and lots of NYC cabbies are immigrants, and The Times is ON IT. http://t.co/fdjR7GaccD","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,297556877,NYTOnIt,,,,,,,,,,,29,24,,,http://t.co/fdjR7GaccD,http://nyti.ms/1kvSlFk,97,,,,,,,,false,false,false,en,0,97
Mon Feb 03 19:15:30 +0000 2014,430419292161855488,"GUYS, Bill de Blasio is a tall guy, and The Times is ON IT. http://t.co/K9NE0djA1f","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,297556877,NYTOnIt,,,,,,,,,,,16,19,,,http://t.co/K9NE0djA1f,http://nyti.ms/1eNGpXW,82,,,,,,,,false,false,false,en,0,82
Fri Jan 31 18:56:17 +0000 2014,429327292364767233,"GUYS, New Yorkers are sick of all these damn tourists, and The Times is ON IT. http://t.co/hGhubKciYb","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,297556877,NYTOnIt,,,,,,,,,,,16,13,,,http://t.co/hGhubKciYb,http://nyti.ms/1lq47Cw,101,,,,,,,,false,false,false,en,0,101
Thu Jan 30 03:20:29 +0000 2014,428729400461643777,"GUYS, some women are not so keen on pubic hair removal, and The Times is ON IT. http://t.co/hpKHsd6T8g","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>",false,,,,297556877,NYTOnIt,,,,,,,,,,,26,30,,,http://t.co/hpKHsd6T8g,http://nyti.ms/1cwSPXv,102,,,,,,,,false,false,false,en,0,102
Tue Jan 28 18:17:20 +0000 2014,428230326264291329,"GUYS, The Times, for some reason, hates pizza. I have nothing else to add. http://t.co/1ikg5uIHVY","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,297556877,NYTOnIt,,,,,,,,,,,38,21,,,http://t.co/1ikg5uIHVY,http://nyti.ms/1f8mzKd,97,,,,,,,,false,false,false,en,0,97
Mon Jan 20 22:34:54 +0000 2014,425396041341755392,"GUYS, everyone gets too many emails, and The Times is ON IT. http://t.co/urvUIfTtme","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>",false,,,,297556877,NYTOnIt,,,,,,,,,,,43,18,,,http://t.co/urvUIfTtme,http://nyti.ms/1mwExKe,83,,,,,,,,false,false,false,en,0,83
Thu Jan 16 16:48:17 +0000 2014,423859260934463488,"GUYS, there is cell service when the subways go above ground, and The Times is ON IT. http://t.co/V1LqhBuIHg","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,297556877,NYTOnIt,,,,,,,,,,,33,31,,,http://t.co/V1LqhBuIHg,http://bit.ly/1m90lbV,108,,,,,,,,false,false,false,en,0,108
Tue Jan 14 17:00:45 +0000 2014,423137621976420352,"GUYS, T-shirt cannons keep getting bigger and bigger. The Times is ON IT. http://t.co/24jp92cr9N","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,297556877,NYTOnIt,,,,,,,,,,,15,16,,,http://t.co/24jp92cr9N,http://nyti.ms/1kA5iz7,96,,,,,,,,false,false,false,en,0,96
Mon Jan 13 03:53:58 +0000 2014,422577236290846720,"GUYS, there's too much TV to watch on Sunday night, and The Times, in a front page story, is ON IT. http://t.co/dH8Ex1bVnf","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>",false,,,,297556877,NYTOnIt,,,,,,,,,,,56,38,,,http://t.co/dH8Ex1bVnf,http://nyti.ms/1kx7HKL,122,,,,,,,,false,false,false,en,0,122
Thu Jan 09 21:39:45 +0000 2014,421395894634692611,"GUYS, Brooklyn hipsters aren't the only men with beards these days, and The Times is ON IT. http://t.co/YLE1tKBbAM","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,297556877,NYTOnIt,,,,,,,,,,,58,27,,,http://t.co/YLE1tKBbAM,http://nyti.ms/1aKVU1A,114,,,,,,,,false,false,false,en,0,114
Tue Jan 07 13:41:49 +0000 2014,420550846553014272,"GUYS, it's cold out, and The Times is ON IT. http://t.co/WbXkep2zGJ","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>",false,,,,297556877,NYTOnIt,,,,,,,,,,,81,18,,,http://t.co/WbXkep2zGJ,http://nyti.ms/1faFDdL,67,,,,,,,,false,false,false,en,0,67
Sun Dec 29 17:29:13 +0000 2013,417346579524505600,"GUYS, James Franco takes a lot of selfies, and James Franco is ON IT. http://t.co/BLRgHgY1SJ","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>",false,,,,297556877,NYTOnIt,,,,,,,,,,,64,60,,,http://t.co/BLRgHgY1SJ,http://nyti.ms/19vxgSm,92,,,,,,,,false,false,false,en,0,92
Thu Dec 26 23:37:45 +0000 2013,416352160813547520,"GUYS, some people prefer to run inside during the winter, and The Times is ON IT. http://t.co/HnuMwBWPim","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,297556877,NYTOnIt,,,,,,,,,,,35,16,,,http://t.co/HnuMwBWPim,http://nyti.ms/19Ot5Vb,104,,,,,,,,false,false,false,en,0,104
