CreatedAt,ID,ActualTweet,Source,Truncated,InReplyToStatusID,InReplyToUserID,InReplyToScreenName,UserID,UserScreenName,GEO,Coordinates,PlaceID,PlaceURL,PlaceType,PlaceName,PlaceFullName,PlaceCountryCode,PlaceCountry,Contributors,RetweetCount,FavouriteCount,Hashtags,Symbols,URL,URLInTweetExpanded,Indices,MediaIndices,MediaURL,MediaURLShort,MediaType,UserMentionScreenName,UserMentionName,UserMentionID,Favourited,Retweeted,PossiblySensitive,Language,Classifier,TweetLength
Fri Jul 04 17:32:57 +0000 2014,485114051203055616,"These colors don't run. In fact, they barely exercise at all. waka waka","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,1201823022,NotCoatFactory,,,,,,,,,,,36,56,,,,,,,,,,,,,false,false,,en,0,71
Fri Jul 04 09:41:08 +0000 2014,484995312939827200,Going to the lake? Bring a #coat just to be safe,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,1201823022,NotCoatFactory,,,,,,,,,,,23,40,coat,,,,,,,,,,,,false,false,,en,0,48
Thu Jul 03 13:07:04 +0000 2014,484684751429578752,"We hope everyone going to relax this weekend, have a BBQ and take detailed inventory of your #coats","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,1201823022,NotCoatFactory,,,,,,,,,,,31,42,coats,,,,,,,,,,,,false,false,,en,0,99
Sat Jun 28 17:10:41 +0000 2014,482934118766755840,Ok that burrito much hotter on the way out thanks. #coats,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,1201823022,NotCoatFactory,,,,,,,,,,,13,35,coats,,,,,,,,,,,,false,false,,en,0,57
Sun Jun 22 06:57:28 +0000 2014,480605473050066945,"we feeling sexual. deal with it 
#coats","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,1201823022,NotCoatFactory,,,,,,,,,,,38,70,coats,,,,,,,,,,,,false,false,,en,0,39
Sun Jun 22 06:41:52 +0000 2014,480601545411555328,xoxo,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,1201823022,NotCoatFactory,,,,,,,,,,,15,15,,,,,,,,,,,,,false,false,,und,0,4
Wed Jun 18 19:18:28 +0000 2014,479342401421455360,Simple solution: Change team name to the Washington #Coats then everybody is happy. Done.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,1201823022,NotCoatFactory,,,,,,,,,,,64,62,Coats,,,,,,,,,,,,false,false,,en,0,89
Sun Jun 15 14:36:33 +0000 2014,478184290946396160,Oh father where art thou #coat,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,1201823022,NotCoatFactory,,,,,,,,,,,21,30,coat,,,,,,,,,,,,false,false,,en,0,30
Sat Jun 14 20:55:20 +0000 2014,477917223655186432,Victory Coatlombia! Victory Coatsta Rica! Viva futb?l!,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,1201823022,NotCoatFactory,,,,,,,,,,,40,30,,,,,,,,,,,,,false,false,,es,0,54
Sat Jun 14 17:06:53 +0000 2014,477859733403992064,Happy Flag Day please think about flags and also #coats thanks,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,1201823022,NotCoatFactory,,,,,,,,,,,40,43,coats,,,,,,,,,,,,false,false,,en,0,62
