CreatedAt,ID,ActualTweet,Source,Truncated,InReplyToStatusID,InReplyToUserID,InReplyToScreenName,UserID,UserScreenName,GEO,Coordinates,PlaceID,PlaceURL,PlaceType,PlaceName,PlaceFullName,PlaceCountryCode,PlaceCountry,Contributors,RetweetCount,FavouriteCount,Hashtags,Symbols,URL,URLInTweetExpanded,Indices,MediaIndices,MediaURL,MediaURLShort,MediaType,UserMentionScreenName,UserMentionName,UserMentionID,Favourited,Retweeted,PossiblySensitive,Language,Classifier,TweetLength
Wed Jul 09 06:02:17 +0000 2014,486752177646366720,"RT @NOTNFLLive: #NFL logos, if they were done by Disney:  http://t.co/LZQ7o079R8

#Cardinals: http://t.co/aelXegC3Cz","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,237147973,NOTSportsCenter,,,,,,,,,,,22,0,Cardinals,,http://t.co/LZQ7o079R8,http://notsportscenter.com/disney-nfl/,80,116,http://pbs.twimg.com/media/Bl6cYMiIUAEqhX5.png,http://t.co/aelXegC3Cz,photo,NOTNFLLive,NOT NFL Live,615648693,false,false,false,en,0,116
Wed Jul 09 05:00:15 +0000 2014,486736566362988545,"RT @NOTNBATonight: Top 10 sports #ThingsTimHowardCouldSave: http://t.co/543OTxarr0

#9 LeBron, from Lance: http://t.co/TlXN4aiycz","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,237147973,NOTSportsCenter,,,,,,,,,,,689,0,ThingsTimHowardCouldSave,,http://t.co/543OTxarr0,http://notsportscenter.com/top-10-sports-things-tim-howard-could-save/,82,129,http://pbs.twimg.com/media/BrqHw0KIcAA6r4c.jpg,http://t.co/TlXN4aiycz,photo,NOTNBATonight,NOT NBA Tonight,425320711,false,false,false,en,0,134
Wed Jul 09 03:20:08 +0000 2014,486711371384360960,"RT @NOTMLBTonight: Find out which MLB star will appear in the ""Fifty Shades of Grey"" movie &amp; is on its new poster: http://t.co/LcvGXrcGAX","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,237147973,NOTSportsCenter,,,,,,,,,,,4,0,,,http://t.co/LcvGXrcGAX,http://bit.ly/1kBTCql,141,,,,,NOTMLBTonight,NOT Baseball Tonight,459709412,false,false,false,en,0,134
Wed Jul 09 03:18:27 +0000 2014,486710947549966336,REPORT: Sources give a 90% chance to 100% of these LeBron reports being 88.3% made up using 94.6% fake sources (via made up NOTSC reports),"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,237147973,NOTSportsCenter,,,,,,,,,,,434,354,,,,,,,,,,,,,false,false,,en,0,134
Wed Jul 09 01:32:31 +0000 2014,486684288755068928,"7 Germany goals + Jim Ross commentary = well, it's not pretty. For Brazil.

VIDEO: http://t.co/g70Dv8iUfI

#WorldCup http://t.co/pMvX9GCp1x","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,237147973,NOTSportsCenter,,,,,,,,,,,187,184,WorldCup,,http://t.co/g70Dv8iUfI,http://notsportscenter.com/video-germany-7-world-cup-goals-on-brazil-called-by-jim-ross/,105,139,http://pbs.twimg.com/media/BsEMx7NCQAAxppL.png,http://t.co/pMvX9GCp1x,photo,,,,false,false,false,en,0,134
Tue Jul 08 23:38:11 +0000 2014,486655517339578369,"RT @NOTNBATonight: REPORT: LeBron James and 60,000 free agent #Heat fans will meet with Pat Riley in Las Vegas on Wednesday.","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,237147973,NOTSportsCenter,,,,,,,,,,,457,0,Heat,,,,,,,,,NOTNBATonight,NOT NBA Tonight,425320711,false,false,,en,0,124
Tue Jul 08 21:53:40 +0000 2014,486629214808858624,"Tim Howard on Brazil: ""Don't look at me, I couldn't have saved them. Jesus Christ himself couldn't have saved them."" #BrazilVsGermany","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,237147973,NOTSportsCenter,,,,,,,,,,,1159,927,BrazilVsGermany,,,,,,,,,,,,false,false,,en,0,134
Tue Jul 08 21:51:32 +0000 2014,486628677778554882,Live look-in at Brazil outside the stadium #BrazilVsGermany http://t.co/lAttfqJJaO,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,237147973,NOTSportsCenter,,,,,,,,,,,2025,1142,BrazilVsGermany,,,,,82,http://pbs.twimg.com/media/BsDaM9qCUAEoEQV.jpg,http://t.co/lAttfqJJaO,photo,,,,false,false,false,en,0,82
Tue Jul 08 21:18:21 +0000 2014,486620328282431492,"All Brazil needs to get back in the game is to change the u in futbol to ""oo"", change the o to ""al"" and score a TD. Shouldn't be too hard.","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,237147973,NOTSportsCenter,,,,,,,,,,,458,393,,,,,,,,,,,,,false,false,,en,0,134
Tue Jul 08 20:36:27 +0000 2014,486609781956698113,"BREAKING: LeBron James, Carmelo Anthony, Chris Bosh, Dwyane Wade and Pau Gasol have all decided they will be taking their talents to Germany","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,237147973,NOTSportsCenter,,,,,,,,,,,8449,4891,,,,,,,,,,,,,false,false,,en,0,134
Tue Jul 08 15:31:03 +0000 2014,486532925769252864,RT @NOTNBATonight: REPORT: Carmelo Anthony and LeBron James planning to announce free agency decisions around summer 2018.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,237147973,NOTSportsCenter,,,,,,,,,,,1195,0,,,,,,,,,,NOTNBATonight,NOT NBA Tonight,425320711,false,false,,en,0,122
Tue Jul 08 03:03:20 +0000 2014,486344758361473025,"RT @NOTMLBTonight: #RedSox shutout for 9th time this season. In less than 9 months, they've gone from looking like homeless people to playi?","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,237147973,NOTSportsCenter,,,,,,,,,,,191,0,RedSox,,,,,,,,,NOTMLBTonight,NOT Baseball Tonight,459709412,false,false,,en,0,134
Tue Jul 08 01:05:08 +0000 2014,486315009824153600,"REPORT: Chris Bosh told the #Rockets he likes the $90 million offer, but won't say yes until they trade for both Jason Collins &amp; Michael Sam","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,237147973,NOTSportsCenter,,,,,,,,,,,2094,1598,Rockets,,,,,,,,,,,,false,false,,en,0,134
