CreatedAt,ID,ActualTweet,Source,Truncated,InReplyToStatusID,InReplyToUserID,InReplyToScreenName,UserID,UserScreenName,GEO,Coordinates,PlaceID,PlaceURL,PlaceType,PlaceName,PlaceFullName,PlaceCountryCode,PlaceCountry,Contributors,RetweetCount,FavouriteCount,Hashtags,Symbols,URL,URLInTweetExpanded,Indices,MediaIndices,MediaURL,MediaURLShort,MediaType,UserMentionScreenName,UserMentionName,UserMentionID,Favourited,Retweeted,PossiblySensitive,Language,Classifier,TweetLength
Wed Jul 09 07:38:33 +0000 2014,486776406568091648,"China, U.S. say committed to managing differences http://t.co/lGpywNxDWq","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,1652541,Reuters,,,,,,,,,,,33,19,,,http://t.co/lGpywNxDWq,http://reut.rs/1n6wP63,72,,,,,,,,false,false,false,en,1,72
Wed Jul 09 06:59:33 +0000 2014,486766591691214848,"U.S., China ink coal, clean energy deals in climate cooperation http://t.co/Es0yytHpk9","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,1652541,Reuters,,,,,,,,,,,47,21,,,http://t.co/Es0yytHpk9,http://reut.rs/1n6rDzl,86,,,,,,,,false,false,false,en,1,86
Wed Jul 09 04:06:31 +0000 2014,486723045156225024,"Indonesians vote for new president, choice between old guard and new breed http://t.co/eipXeYgijK","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,1652541,Reuters,,,,,,,,,,,135,29,,,http://t.co/eipXeYgijK,http://reut.rs/1qILgmQ,97,,,,,,,,false,false,false,en,1,97
Wed Jul 09 02:43:09 +0000 2014,486702063389515776,"Weakened typhoon leaves two dead, heads north from Okinawa to main Japan islands http://t.co/iEr17C4wgX","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,1652541,Reuters,,,,,,,,,,,62,17,,,http://t.co/iEr17C4wgX,http://reut.rs/1qIBSzD,103,,,,,,,,false,false,false,en,1,103
Wed Jul 09 02:18:16 +0000 2014,486695802967195648,Citigroup may pay $7 billion to resolve U.S. mortgage probes: source http://t.co/E3csaA7FKn,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,1652541,Reuters,,,,,,,,,,,119,39,,,http://t.co/E3csaA7FKn,http://reut.rs/1qIyTHo,91,,,,,,,,false,false,false,en,1,91
Wed Jul 09 01:08:05 +0000 2014,486678140027424769,Iraq tells U.N. 'terrorist groups' seized former chemical weapons depot http://t.co/G2TIAqIYfu,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,1652541,Reuters,,,,,,,,,,,129,35,,,http://t.co/G2TIAqIYfu,http://reut.rs/1n5DQ7d,94,,,,,,,,false,false,false,en,1,94
Wed Jul 09 01:01:13 +0000 2014,486676414838865920,Hamas rockets land deep in Israel as it bombards Gaza Strip http://t.co/fQ5IqpiykA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,1652541,Reuters,,,,,,,,,,,138,34,,,http://t.co/fQ5IqpiykA,http://reut.rs/1n5D3TY,82,,,,,,,,false,false,false,en,1,82
Tue Jul 08 23:28:06 +0000 2014,486652980578775040,Nine interviews that will make you smarter- our best takeaways from the #AspenIdeas Festival: http://t.co/BQcnriYths http://t.co/niinHnBTfI,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,1652541,Reuters,,,,,,,,,,,80,131,AspenIdeas,,http://t.co/BQcnriYths,http://reut.rs/1oF0KGM,116,139,http://pbs.twimg.com/media/BsDwTqfIgAAcvX-.jpg,http://t.co/niinHnBTfI,photo,,,,false,false,false,en,1,134
Tue Jul 08 22:58:05 +0000 2014,486645425878097920,PHOTOS: Muslims around the world recognize the holy fasting month of Ramadan. http://t.co/f5ZP9yb85U http://t.co/GuwJaEWdWG,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,1652541,Reuters,,,,,,,,,,,625,293,,,http://t.co/f5ZP9yb85U,http://reut.rs/1mdjbmc,100,123,http://pbs.twimg.com/media/BsDpb6sIcAEP_yJ.jpg,http://t.co/GuwJaEWdWG,photo,,,,false,false,false,en,1,123
Tue Jul 08 22:27:09 +0000 2014,486637640662675456,OPINION: Does health insurance covering contraception actually cost anything?http://t.co/JTnhnmoxob http://t.co/7SuTGUwcSx,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,1652541,Reuters,,,,,,,,,,,60,46,,,http://t.co/JTnhnmoxob,http://reut.rs/1mFGjLs,99,122,http://pbs.twimg.com/media/BsDiWwPIAAA87dB.jpg,http://t.co/7SuTGUwcSx,photo,,,,false,false,false,en,1,122
