CreatedAt,ID,ActualTweet,Source,Truncated,InReplyToStatusID,InReplyToUserID,InReplyToScreenName,UserID,UserScreenName,GEO,Coordinates,PlaceID,PlaceURL,PlaceType,PlaceName,PlaceFullName,PlaceCountryCode,PlaceCountry,Contributors,RetweetCount,FavouriteCount,Hashtags,Symbols,URL,URLInTweetExpanded,Indices,MediaIndices,MediaURL,MediaURLShort,MediaType,UserMentionScreenName,UserMentionName,UserMentionID,Favourited,Retweeted,PossiblySensitive,Language,Classifier,TweetLength
Mon Jul 07 15:23:00 +0000 2014,486168511308255233,Staying in bed for the next few years,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,559683643,SadPaulGiamatti,,,,,,,,,,,25,31,,,,,,,,,,,,,false,false,,en,0,37
Sun Jun 22 08:02:29 +0000 2014,480621834384068608,@BurgerKing I tried this two years ago. Ended up getting arrested and charged with a misdemeanour.,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",false,480518081304072192,167421802,BurgerKing,559683643,SadPaulGiamatti,,,,,,,,,,,2,1,,,,,,,,,,BurgerKing,Burger King,167421802,false,false,,en,0,98
Fri Jun 13 17:45:19 +0000 2014,477507016659718144,Eating soup with my bare hands,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",false,,,,559683643,SadPaulGiamatti,,,,,,,,,,,49,56,,,,,,,,,,,,,false,false,,en,0,30
Fri Jun 06 17:23:51 +0000 2014,474964902688600065,"Another year, another birthday at Arby's.","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,559683643,SadPaulGiamatti,,,,,,,,,,,43,69,,,,,,,,,,,,,false,false,,en,0,41
Wed Jun 04 17:30:53 +0000 2014,474241896848441344,I think my goldfish has depression,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,559683643,SadPaulGiamatti,,,,,,,,,,,18,37,,,,,,,,,,,,,false,false,,en,0,34
Tue Jun 03 16:20:56 +0000 2014,473861906013253632,Drying my laundry by just leaving it in a pile on the floor,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",false,,,,559683643,SadPaulGiamatti,,,,,,,,,,,27,48,,,,,,,,,,,,,false,false,,en,0,59
Thu May 29 15:04:50 +0000 2014,472030813605728257,Breakfast http://t.co/rc9y0UMPC3,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>",false,,,,559683643,SadPaulGiamatti,,,,,,,,,,,12,19,,,,,,32,http://pbs.twimg.com/media/Boz9hfgCMAAAx1O.jpg,http://t.co/rc9y0UMPC3,photo,,,,false,false,false,en,0,32
Thu May 29 14:55:12 +0000 2014,472028390959374336,woke up in a phone booth,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>",false,,,,559683643,SadPaulGiamatti,,,,,,,,,,,26,46,,,,,,,,,,,,,false,false,,en,0,24
Wed May 21 17:27:02 +0000 2014,469167496310706176,Drinking warm beer out of a ziplock bag,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,559683643,SadPaulGiamatti,,,,,,,,,,,44,63,,,,,,,,,,,,,false,false,,en,0,39
Sat May 17 15:31:13 +0000 2014,467688799276113922,Woke up with a McDouble pressed into my face,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,559683643,SadPaulGiamatti,,,,,,,,,,,36,33,,,,,,,,,,,,,false,false,,en,0,44
Sat May 17 15:21:43 +0000 2014,467686407738499072,I feel like there's a calypso band trapped inside my skull,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,559683643,SadPaulGiamatti,,,,,,,,,,,18,22,,,,,,,,,,,,,false,false,,en,0,58
Sat May 17 05:57:04 +0000 2014,467544308879736832,My drink tastes like a pair of socks,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,559683643,SadPaulGiamatti,,,,,,,,,,,18,32,,,,,,,,,,,,,false,false,,en,0,36
Thu Apr 17 20:20:21 +0000 2014,456889924793692160,Spilled ear medicine into my eyes,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,559683643,SadPaulGiamatti,,,,,,,,,,,15,41,,,,,,,,,,,,,false,false,,en,0,33
Tue Apr 15 19:20:33 +0000 2014,456150102088769538,My hair hurts,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,559683643,SadPaulGiamatti,,,,,,,,,,,21,34,,,,,,,,,,,,,false,false,,en,0,13
Mon Apr 07 19:07:46 +0000 2014,453247778534072320,stepping outside for a breath of fresh smog,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>",false,,,,559683643,SadPaulGiamatti,,,,,,,,,,,29,35,,,,,,,,,,,,,false,false,,en,0,43
Sun Apr 06 00:57:58 +0000 2014,452611133875453952,Eating a bowl of mayonnaise,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,559683643,SadPaulGiamatti,,,,,,,,,,,39,44,,,,,,,,,,,,,false,false,,en,0,27
Fri Apr 04 15:43:16 +0000 2014,452109152530477056,Drank too much coffee and had a nervous breakdown on the subway,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,559683643,SadPaulGiamatti,,,,,,,,,,,26,46,,,,,,,,,,,,,false,false,,en,0,63
Fri Apr 04 14:16:44 +0000 2014,452087374562873345,Sat down onto a full plate of scrambled eggs,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,559683643,SadPaulGiamatti,,,,,,,,,,,42,61,,,,,,,,,,,,,false,false,,en,0,44
Thu Apr 03 16:32:45 +0000 2014,451759216059887616,Eating KFC alone in the car,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,559683643,SadPaulGiamatti,,,,,,,,,,,40,49,,,,,,,,,,,,,false,false,,en,0,27
Sun Mar 30 00:14:08 +0000 2014,450063390380011520,old chips for dinner,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,559683643,SadPaulGiamatti,,,,,,,,,,,27,39,,,,,,,,,,,,,false,false,,no,0,20
Sat Mar 29 00:15:43 +0000 2014,449701398624468992,Threw up into my coat pocket,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,559683643,SadPaulGiamatti,,,,,,,,,,,31,50,,,,,,,,,,,,,false,false,,en,0,28
Thu Mar 27 15:45:24 +0000 2014,449210587398934528,The laundromat lady sold all my clothes,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",false,,,,559683643,SadPaulGiamatti,,,,,,,,,,,32,53,,,,,,,,,,,,,false,false,,en,0,39
Sat Mar 22 20:38:37 +0000 2014,447472436653867008,Tried to hold back a sneeze but ended up pissing my pants,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,559683643,SadPaulGiamatti,,,,,,,,,,,32,69,,,,,,,,,,,,,false,false,,en,0,57
Fri Mar 21 19:07:18 +0000 2014,447087070658301952,Using an empty KFC bucket as a cup,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",false,,,,559683643,SadPaulGiamatti,,,,,,,,,,,20,45,,,,,,,,,,,,,false,false,,en,0,34
Fri Mar 21 04:49:16 +0000 2014,446871136748720128,Drank too much and tried to eat a phonebook,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",false,,,,559683643,SadPaulGiamatti,,,,,,,,,,,37,43,,,,,,,,,,,,,false,false,,en,0,43
Thu Mar 20 17:53:42 +0000 2014,446706160876277760,Stapling my shirt because the buttons fell off,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",false,,,,559683643,SadPaulGiamatti,,,,,,,,,,,33,55,,,,,,,,,,,,,false,false,,en,0,46
Tue Mar 18 19:27:05 +0000 2014,446004884962566144,Landed at the airport after a 13 hour flight. Nobody showed up to meet me.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,559683643,SadPaulGiamatti,,,,,,,,,,,13,35,,,,,,,,,,,,,false,false,,en,0,74
Mon Mar 17 19:23:52 +0000 2014,445641688036294657,eating Tylenol for breakfast,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,559683643,SadPaulGiamatti,,,,,,,,,,,38,45,,,,,,,,,,,,,false,false,,en,0,28
Fri Mar 14 22:14:56 +0000 2014,444597572879929344,Accidentally swallowed my toothbrush,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,559683643,SadPaulGiamatti,,,,,,,,,,,26,34,,,,,,,,,,,,,false,false,,en,0,36
Tue Mar 11 19:21:39 +0000 2014,443466802471772160,The whole city smells like dog shit,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",false,,,,559683643,SadPaulGiamatti,,,,,,,,,,,16,33,,,,,,,,,,,,,false,false,,en,0,35
Fri Mar 07 18:01:06 +0000 2014,441996979007008768,Ate a family-size tub of yogurt and fell asleep on the kitchen floor,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>",false,,,,559683643,SadPaulGiamatti,,,,,,,,,,,32,54,,,,,,,,,,,,,false,false,,en,0,68
Thu Mar 06 07:25:53 +0000 2014,441474734505484289,RT @TIME: Drunk couple who were denied pizza try to set restaurant on fire http://t.co/mmeeb6yMQa,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",false,,,,559683643,SadPaulGiamatti,,,,,,,,,,,200,0,,,http://t.co/mmeeb6yMQa,http://ti.me/1f9N3aZ,97,,,,,TIME,TIME.com,14293310,false,false,false,en,0,97
Wed Mar 05 18:17:05 +0000 2014,441276227169439744,Accidentally wore socks over my shoes,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",false,,,,559683643,SadPaulGiamatti,,,,,,,,,,,32,41,,,,,,,,,,,,,false,false,,en,0,37
Wed Mar 05 00:52:52 +0000 2014,441013439960330240,My stomach feels like a McDonald's bathroom,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",false,,,,559683643,SadPaulGiamatti,,,,,,,,,,,25,44,,,,,,,,,,,,,false,false,,en,0,43
Mon Mar 03 19:14:13 +0000 2014,440565827545210880,Closed the car door on my toes again,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>",false,,,,559683643,SadPaulGiamatti,,,,,,,,,,,21,33,,,,,,,,,,,,,false,false,,en,0,36
Sun Mar 02 23:55:54 +0000 2014,440274329394507776,wearing shorts to the Oscars,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,559683643,SadPaulGiamatti,,,,,,,,,,,15,57,,,,,,,,,,,,,false,false,,en,0,28
Wed Feb 26 16:27:35 +0000 2014,438711955277479937,A spoonful of mayonnaise helps the medicine go down,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,559683643,SadPaulGiamatti,,,,,,,,,,,24,25,,,,,,,,,,,,,false,false,,en,0,51
Mon Feb 24 05:17:47 +0000 2014,437818619158753280,Opening a can of soup with a wrench,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,559683643,SadPaulGiamatti,,,,,,,,,,,24,44,,,,,,,,,,,,,false,false,,en,0,35
Fri Feb 14 23:08:30 +0000 2014,434464192565739520,Wearing sweatpants for the next few days,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,559683643,SadPaulGiamatti,,,,,,,,,,,28,37,,,,,,,,,,,,,false,false,,en,0,40
Fri Feb 14 22:21:31 +0000 2014,434452371398074368,@josifiah staying inside with the lights off,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",false,434452197800038400,1493696496,josifiah,559683643,SadPaulGiamatti,,,,,,,,,,,2,6,,,,,,,,,,josifiah,Infant Sorrow,1493696496,false,false,,en,0,44
