CreatedAt,ID,ActualTweet,Source,Truncated,InReplyToStatusID,InReplyToUserID,InReplyToScreenName,UserID,UserScreenName,GEO,Coordinates,PlaceID,PlaceURL,PlaceType,PlaceName,PlaceFullName,PlaceCountryCode,PlaceCountry,Contributors,RetweetCount,FavouriteCount,Hashtags,Symbols,URL,URLInTweetExpanded,Indices,MediaIndices,MediaURL,MediaURLShort,MediaType,UserMentionScreenName,UserMentionName,UserMentionID,Favourited,Retweeted,PossiblySensitive,Language,Classifier,TweetLength
Wed Jul 09 13:52:36 +0000 2014,486870537663442944,"RT @vulture: Someone finally went and made Seinfeld emoji. Thank you, @Seinfeld2000: http://t.co/067r7G4pbx http://t.co/Gc9s5j6DLt","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,1081562149,Seinfeld2000,,,,,,,,,,,28,0,,,http://t.co/067r7G4pbx,http://vult.re/1swXAWA,107,130,http://pbs.twimg.com/media/BsG1-mvIYAAtJ44.png,http://t.co/Gc9s5j6DLt,photo,Seinfeld2000,Seinfeld Current Day,1081562149,false,false,false,en,0,134
Tue Jul 08 22:35:44 +0000 2014,486639802469478402,RT @shahruz: i made this with @Seinfeld2000 and it's coming out v soon http://t.co/G2gznyBkWB,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,1081562149,Seinfeld2000,,,,,,,,,,,25,0,,,http://t.co/G2gznyBkWB,http://i.instagram.com/p/qNNN_QQdz8/,93,,,,,Seinfeld2000,Seinfeld Current Day,1081562149,false,false,false,en,0,93
Tue Jul 08 20:29:54 +0000 2014,486608132635115523,Brazil is gettin upset!,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,1081562149,Seinfeld2000,,,,,,,,,,,161,221,,,,,,,,,,,,,false,false,,en,0,23
Tue Jul 08 16:29:30 +0000 2014,486547634963107842,Posh Spice dump Gerge at Wimbeldon http://t.co/vbReeAaRhn,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,1081562149,Seinfeld2000,,,,,,,,,,,81,159,,,,,,57,http://pbs.twimg.com/media/BsCQfqTCIAAdtjo.jpg,http://t.co/vbReeAaRhn,photo,,,,false,false,false,en,0,57
Mon Jul 07 23:18:51 +0000 2014,486288263247052800,Elane make $1 bilion from kickstarter for Big Salad,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,1081562149,Seinfeld2000,,,,,,,,,,,155,400,,,,,,,,,,,,,false,false,,en,0,51
Mon Jul 07 01:00:19 +0000 2014,485951411176611840,RT if you are actualy Elane,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,1081562149,Seinfeld2000,,,,,,,,,,,191,156,,,,,,,,,,,,,false,false,,en,0,27
Sun Jul 06 23:56:52 +0000 2014,485935444644077568,"What if Fraisar was modarn?

Beats By Dr Frai http://t.co/AUhP6nWrn9","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,1081562149,Seinfeld2000,,,,,,,,,,,143,289,,,,,,68,http://pbs.twimg.com/media/Br5jtiyCMAEtFjI.jpg,http://t.co/AUhP6nWrn9,photo,,,,false,false,false,en,0,68
Sun Jul 06 23:34:48 +0000 2014,485929887614517251,@atrak ?,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,485928507512328192,17486893,atrak,1081562149,Seinfeld2000,,,,,,,,,,,2,5,,,,,,,,,,atrak,Flan Emoji,17486893,false,false,,und,0,9
Sun Jul 06 20:55:37 +0000 2014,485889829277032448,GERGE: I WAS IN THE POOL!!! http://t.co/sOycgwyjWN,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,1081562149,Seinfeld2000,,,,,,,,,,,106,254,,,,,,50,http://pbs.twimg.com/media/Br46OXqCAAAyH6n.jpg,http://t.co/sOycgwyjWN,photo,,,,false,false,false,en,0,50
Sun Jul 06 17:39:19 +0000 2014,485840427699150848,http://t.co/sioKw2DBtK,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,1081562149,Seinfeld2000,,,,,,,,,,,179,485,,,,,,22,http://pbs.twimg.com/media/Br4NSy0CUAAZ8SF.jpg,http://t.co/sioKw2DBtK,photo,,,,false,false,false,und,0,22
Sun Jul 06 02:04:13 +0000 2014,485605103789805568,"Kram ""catfish ""Jery

Not with sociel media

Literaly he leave dead catfish in Jerys bed

Its prank lol","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,1081562149,Seinfeld2000,,,,,,,,,,,100,272,,,,,,,,,,,,,false,false,,en,0,102
Fri Jul 04 19:02:13 +0000 2014,485136517451358208,What if Lary David listen to modarn dubstep beats http://t.co/s7NqHbAPrH,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,1081562149,Seinfeld2000,,,,,,,,,,,162,294,,,,,,72,http://pbs.twimg.com/media/BruNFvBCcAA8nOW.jpg,http://t.co/s7NqHbAPrH,photo,,,,false,false,false,en,0,72
Thu Jul 03 16:34:40 +0000 2014,484736994291900416,"In honer of the 25th aniversary of Sienfeld i made a list of the best epsodes from every season (if it still on TV)

https://t.co/BMDruPIkb9","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,1081562149,Seinfeld2000,,,,,,,,,,,59,108,,,https://t.co/BMDruPIkb9,https://www.facebook.com/photo.php?fbid=240126609516349&set=a.139283969600614.1073741824.139223439606667&type=1&permPage=1,140,,,,,,,,false,false,false,en,0,134
Thu Jul 03 00:53:38 +0000 2014,484500178137653248,"Jery, Gerge and Elane spend whole epsode waiting for table at Subway http://t.co/FRiUA0xXYD","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,1081562149,Seinfeld2000,,,,,,,,,,,195,412,,,,,,91,http://pbs.twimg.com/media/BrlKV8qCYAA4UAx.jpg,http://t.co/FRiUA0xXYD,photo,,,,false,false,false,en,0,91
Wed Jul 02 17:31:15 +0000 2014,484388848055902208,"Krame invent first ever frozan pizza delivery service

The slogan is ""Its delivary AND its Digiorno""","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,1081562149,Seinfeld2000,,,,,,,,,,,136,313,,,,,,,,,,,,,false,false,,en,0,100
