CreatedAt,ID,ActualTweet,Source,Truncated,InReplyToStatusID,InReplyToUserID,InReplyToScreenName,UserID,UserScreenName,GEO,Coordinates,PlaceID,PlaceURL,PlaceType,PlaceName,PlaceFullName,PlaceCountryCode,PlaceCountry,Contributors,RetweetCount,FavouriteCount,Hashtags,Symbols,URL,URLInTweetExpanded,Indices,MediaIndices,MediaURL,MediaURLShort,MediaType,UserMentionScreenName,UserMentionName,UserMentionID,Favourited,Retweeted,PossiblySensitive,Language,Classifier,TweetLength
Thu Jul 03 16:26:48 +0000 2014,484735016967356418,"Kramer rents out his apartment every night on Airbnb &amp; lives in the hallway. K:?I?m making cash hand over fist, Jerry!? J:?You?re homeless!""","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,1000262514,SeinfeldToday,,,,,,,,,,,2763,2860,,,,,,,,,,,,,false,false,,en,0,134
Tue Jun 24 16:29:08 +0000 2014,481474113182388226,"When Jerry's GF says he's no fun, he starts using emojis constantly. She dumps him. J:""I was being fun!"" E:""Emoji guy is not fun. He's sad.""","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,1000262514,SeinfeldToday,,,,,,,,,,,1084,1265,,,,,,,,,,,,,false,false,,en,0,134
Thu Jun 12 21:46:42 +0000 2014,477205375142223873,"Kramer tries not to watch the World Cup after ""overdosing"" in 2010. ""The highs are high, but the lows? Oh, they're low! They're low, Jerry!""","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,1000262514,SeinfeldToday,,,,,,,,,,,4244,3378,,,,,,,,,,,,,false,false,,en,0,134
Tue Jun 03 20:49:00 +0000 2014,473929365785292800,Jerry gets paranoid about his girlfriend?s past when her iPhone automatically connects to the wi-fi at Newman?s apartment.,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,1000262514,SeinfeldToday,,,,,,,,,,,7788,7853,,,,,,,,,,,,,false,false,,en,0,122
Wed May 28 18:28:22 +0000 2014,471719645364625408,Elaine?s coworker is creepily obsessed with Frozen &amp; brings it up constantly. ?You?re a grown woman! It?s for children! This is not cute!?,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,1000262514,SeinfeldToday,,,,,,,,,,,1764,1788,,,,,,,,,,,,,false,false,,en,0,134
Mon May 19 17:41:51 +0000 2014,468446449621934083,"George is too scared to break up with his intimidating girlfriend so he just repeatedly responds to her texts with ?New phone. Who?s this?""","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,1000262514,SeinfeldToday,,,,,,,,,,,2995,2989,,,,,,,,,,,,,false,false,,en,0,134
Wed May 14 19:04:29 +0000 2014,466655303510282240,"Jerry's gf dumps him for not wishing her happy bday on Facebook. J:""I said it to her face!"" E:""But her friends can't see that &amp;get jealous.""","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,1000262514,SeinfeldToday,,,,,,,,,,,3257,2756,,,,,,,,,,,,,false,false,,en,0,134
Mon May 05 17:04:09 +0000 2014,463363533129154560,"Elaine dates a gorgeous hispanic man, but she hides him from Jerry and George because she's ashamed that he?s in a subway Mariachi band.","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,1000262514,SeinfeldToday,,,,,,,,,,,929,1474,,,,,,,,,,,,,false,false,,en,0,134
Mon Apr 28 18:08:21 +0000 2014,460842975124553728,Elaine?s BF notices she has no Instagrams with black people. She awkwardly tries to take pics w/ black co-workers to prove she?s not racist.,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,1000262514,SeinfeldToday,,,,,,,,,,,2786,3079,,,,,,,,,,,,,false,false,,en,0,134
Wed Apr 23 19:56:04 +0000 2014,459058142026813440,George suspects the girl he?s meeting from OkCupid is using fake pictures but he can?t confront her because he is too.,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,1000262514,SeinfeldToday,,,,,,,,,,,1913,2211,,,,,,,,,,,,,false,false,,en,0,118
Wed Apr 16 20:26:10 +0000 2014,456529002925010944,"Jerry?s GF always smokes an e-cig in bed. GF:?But it's vapor.? J:?You say that like vapor?s something I want. I don?t want vapor! No vapor!""","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,1000262514,SeinfeldToday,,,,,,,,,,,2306,2773,,,,,,,,,,,,,false,false,,en,0,134
Thu Apr 10 19:12:28 +0000 2014,454336126862376960,Kramer is paranoid that autocorrect is trying to read his mind. Jerry's GF makes him do a juice cleanse. It slowly drives him crazy.,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,1000262514,SeinfeldToday,,,,,,,,,,,1769,1846,,,,,,,,,,,,,false,false,,en,0,134
