CreatedAt,ID,ActualTweet,Source,Truncated,InReplyToStatusID,InReplyToUserID,InReplyToScreenName,UserID,UserScreenName,GEO,Coordinates,PlaceID,PlaceURL,PlaceType,PlaceName,PlaceFullName,PlaceCountryCode,PlaceCountry,Contributors,RetweetCount,FavouriteCount,Hashtags,Symbols,URL,URLInTweetExpanded,Indices,MediaIndices,MediaURL,MediaURLShort,MediaType,UserMentionScreenName,UserMentionName,UserMentionID,Favourited,Retweeted,PossiblySensitive,Language,Classifier,TweetLength
Fri Jul 11 15:00:14 +0000 2014,487612332227694592,The Economist explains how a goalkeeper can increase the odds of saving a penalty. View video via http://t.co/IygxyZDuhX,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,5988062,TheEconomist,,,,,,,,,,,33,20,,,http://t.co/IygxyZDuhX,http://econ.st/W3jYwx,120,,,,,,,,false,false,false,en,1,120
Fri Jul 11 13:29:46 +0000 2014,487589565717573632,"Israel's government thinks the conflict with Palestinians can simply be ""managed"". It is wrong http://t.co/0dmJKoGAFa http://t.co/3O7rCoszA3","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,5988062,TheEconomist,,,,,,,,,,,479,172,,,http://t.co/0dmJKoGAFa,http://econ.st/1q3mFLv,117,140,http://pbs.twimg.com/media/BsREIGMIQAAXc0v.jpg,http://t.co/3O7rCoszA3,photo,,,,false,false,false,en,1,134
Fri Jul 11 11:57:27 +0000 2014,487566334314942464,Piketty explains why making access to education more meritocratic could cut wealth inequality http://t.co/iTCDGDqtiM http://t.co/4vgO3AL2Da,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,5988062,TheEconomist,,,,,,,,,,,222,157,,,http://t.co/4vgO3AL2Da,http://econ.st/1k9YTpi,139,,,,,,,,false,false,false,en,1,134
Fri Jul 11 10:25:24 +0000 2014,487543170553880576,"The million dollar job that ""no-one wants"". Gulf Air hasn't posted a profit in a decade. http://t.co/FMZnXAY7WX http://t.co/AwXRwigou3","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,5988062,TheEconomist,,,,,,,,,,,249,109,,,http://t.co/FMZnXAY7WX,http://econ.st/1omRhAZ,111,134,http://pbs.twimg.com/media/BsQZ7iuIUAA497L.jpg,http://t.co/AwXRwigou3,photo,,,,false,false,false,en,1,134
Fri Jul 11 08:54:31 +0000 2014,487520300025016320,The subject of past sexual abuse of children by British politicians returned to the headlines last week http://t.co/TJ40zMhyj6,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,5988062,TheEconomist,,,,,,,,,,,40,23,,,http://t.co/TJ40zMhyj6,http://econ.st/1nhzoXO,126,,,,,,,,false,false,false,en,1,126
Fri Jul 11 07:19:00 +0000 2014,487496262082908160,On July 19th the Imperial War Museum's London branch will reopen following a substantial refurbishment http://t.co/Bsx0kR7GXQ,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,5988062,TheEconomist,,,,,,,,,,,63,25,,,http://t.co/Bsx0kR7GXQ,http://econ.st/1ojjTew,125,,,,,,,,false,false,false,en,1,125
Fri Jul 11 05:17:38 +0000 2014,487465716841721856,"After reading the new book ""The Fair Trade Scandal"", your next cup of fair-trade coffee will not taste so good http://t.co/mq1pGS0t14","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,5988062,TheEconomist,,,,,,,,,,,282,255,,,http://t.co/mq1pGS0t14,http://econ.st/1qEVuGd,133,,,,,,,,false,false,false,en,1,134
Fri Jul 11 03:45:10 +0000 2014,487442448290181120,Popular culture in Japan is increasingly taking up nationalist causes http://t.co/IBw13XizU1,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,5988062,TheEconomist,,,,,,,,,,,139,106,,,http://t.co/IBw13XizU1,http://econ.st/1n3sAYX,92,,,,,,,,false,false,false,en,1,92
Fri Jul 11 02:10:36 +0000 2014,487418650203521024,"For many young Czechs, attending the Karlovy Vary International Film Festival is a summer rite of passage http://t.co/KUwxf4I9m9","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,5988062,TheEconomist,,,,,,,,,,,37,46,,,http://t.co/KUwxf4I9m9,http://econ.st/1oghlxG,128,,,,,,,,false,false,false,en,1,128
Fri Jul 11 00:36:22 +0000 2014,487394936632123392,"Five World Cup wins but no Nobel prize. Brazil needs new ideas, on and off the pitch http://t.co/5tpRxO8Cib http://t.co/2fVUMGhlWd","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,5988062,TheEconomist,,,,,,,,,,,715,372,,,http://t.co/5tpRxO8Cib,http://econ.st/1mjWkpc,107,130,http://pbs.twimg.com/media/BsOTHMaIcAEwqSX.jpg,http://t.co/2fVUMGhlWd,photo,,,,false,false,false,en,1,134
Thu Jul 10 22:59:07 +0000 2014,487370461400268800,Brazil's World Cup semi-final defeat is likely to reinforce the country's negative mood http://t.co/o0Euicbn3g http://t.co/xv8LHUi06h,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,5988062,TheEconomist,,,,,,,,,,,302,187,,,http://t.co/o0Euicbn3g,http://econ.st/1mjmxnJ,110,133,http://pbs.twimg.com/media/BsN82jAIUAAZl0A.jpg,http://t.co/xv8LHUi06h,photo,,,,false,false,false,en,1,134
Thu Jul 10 22:59:06 +0000 2014,487370456497127424,"""Honest, Clean, Modest."" Why Indonesia's voters may elect a carpenter's son as their president http://t.co/mwf9kZsFGG http://t.co/moRUcWDAFA","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,5988062,TheEconomist,,,,,,,,,,,895,367,,,http://t.co/mwf9kZsFGG,http://econ.st/1jgKZ9C,117,140,http://pbs.twimg.com/media/BsN82QyIUAAMx5y.jpg,http://t.co/moRUcWDAFA,photo,,,,false,false,false,en,1,134
Thu Jul 10 22:01:05 +0000 2014,487355858570211328,"Why men interrupt. Or ""man mansplains that men also mansplain to men."" By @lanegreene http://t.co/NMGiFJ5k98 http://t.co/s8HyACpzfx","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,5988062,TheEconomist,,,,,,,,,,,248,231,,,http://t.co/NMGiFJ5k98,http://econ.st/1omxZM3,108,131,http://pbs.twimg.com/media/BsNvkjRIUAAjs17.jpg,http://t.co/s8HyACpzfx,photo,lanegreene,Robert Lane Greene,49170981,false,false,false,en,1,134
Thu Jul 10 21:13:07 +0000 2014,487343784641179648,"The total cost of complying with America's federal regulations was $1.86 trillion in 2013-about $15,000 per household http://t.co/cjTTCx6Jjj","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,5988062,TheEconomist,,,,,,,,,,,202,77,,,http://t.co/cjTTCx6Jjj,http://econ.st/1on3cyM,140,,,,,,,,false,false,false,en,1,134
