CreatedAt,ID,ActualTweet,Source,Truncated,InReplyToStatusID,InReplyToUserID,InReplyToScreenName,UserID,UserScreenName,GEO,Coordinates,PlaceID,PlaceURL,PlaceType,PlaceName,PlaceFullName,PlaceCountryCode,PlaceCountry,Contributors,RetweetCount,FavouriteCount,Hashtags,Symbols,URL,URLInTweetExpanded,Indices,MediaIndices,MediaURL,MediaURLShort,MediaType,UserMentionScreenName,UserMentionName,UserMentionID,Favourited,Retweeted,PossiblySensitive,Language,Classifier,TweetLength
Wed Jul 09 14:27:09 +0000 2014,486879230802685954,Juggalos now officially silliest looking gang ever.,"<a href=""http://www.handmark.com"" rel=""nofollow"">TweetCaster for iOS</a>",false,,,,276843589,TheFakeCNN,,,,,,,,,,,4,5,,,,,,,,,,,,,false,false,,en,0,51
Tue Jul 08 16:34:45 +0000 2014,486548957699784704,"National cupcake franchise closes, fatties in uproar.","<a href=""http://www.handmark.com"" rel=""nofollow"">TweetCaster for iOS</a>",false,,,,276843589,TheFakeCNN,,,,,,,,,,,10,4,,,,,,,,,,,,,false,false,,en,0,53
Tue Jul 08 15:35:21 +0000 2014,486534009007001600,Donald Sterling claims he forgot he had Alzheimer's.,"<a href=""http://www.handmark.com"" rel=""nofollow"">TweetCaster for iOS</a>",false,,,,276843589,TheFakeCNN,,,,,,,,,,,15,7,,,,,,,,,,,,,false,false,,en,0,52
Mon Jul 07 21:34:38 +0000 2014,486262036834168833,Lady Gaga spotted shopping for wedding dress in meat market.,"<a href=""http://www.handmark.com"" rel=""nofollow"">TweetCaster for iOS</a>",false,,,,276843589,TheFakeCNN,,,,,,,,,,,10,16,,,,,,,,,,,,,false,false,,en,0,60
Mon Jul 07 14:22:51 +0000 2014,486153375021420544,"Pope Francis apologizes for whole 'guilt thing,' says 'feel free to wack away and flick the bean.'","<a href=""http://www.handmark.com"" rel=""nofollow"">TweetCaster for iOS</a>",false,,,,276843589,TheFakeCNN,,,,,,,,,,,10,5,,,,,,,,,,,,,false,false,,en,0,98
Mon Jul 07 13:29:32 +0000 2014,486139956734087169,Harrison Ford breaks hip just thinking about getting back to filming new Star Wars.,"<a href=""http://www.handmark.com"" rel=""nofollow"">TweetCaster for iOS</a>",false,,,,276843589,TheFakeCNN,,,,,,,,,,,22,17,,,,,,,,,,,,,false,false,,en,0,83
Sat Jul 05 17:08:44 +0000 2014,485470345638715392,"Putin calls for better Russia-U.S. relations, demands we surrender unconditionally.","<a href=""http://www.handmark.com"" rel=""nofollow"">TweetCaster for iOS</a>",false,,,,276843589,TheFakeCNN,,,,,,,,,,,28,22,,,,,,,,,,,,,false,false,,en,0,83
Fri Jul 04 13:40:48 +0000 2014,485055629690544128,4-fingered dudes getting lots of shit today.,"<a href=""http://www.handmark.com"" rel=""nofollow"">TweetCaster for iOS</a>",false,,,,276843589,TheFakeCNN,,,,,,,,,,,11,12,,,,,,,,,,,,,false,false,,en,0,44
Thu Jul 03 21:34:30 +0000 2014,484812453461516290,Millions get shitfaced on Thursday for a change.,"<a href=""http://www.handmark.com"" rel=""nofollow"">TweetCaster for iOS</a>",false,,,,276843589,TheFakeCNN,,,,,,,,,,,28,36,,,,,,,,,,,,,false,false,,en,0,48
Thu Jul 03 17:48:35 +0000 2014,484755596290174976,Enjoy your soggy fireworks!,"<a href=""http://www.handmark.com"" rel=""nofollow"">TweetCaster for iOS</a>",false,,,,276843589,TheFakeCNN,,,,,,,,,,,13,12,,,,,,,,,,,,,false,false,,en,0,27
Thu Jul 03 13:34:02 +0000 2014,484691539189190656,Ted Nugent asks Texas cheerleader to marry him.,"<a href=""http://www.handmark.com"" rel=""nofollow"">TweetCaster for iOS</a>",false,,,,276843589,TheFakeCNN,,,,,,,,,,,11,10,,,,,,,,,,,,,false,false,,en,0,47
