CreatedAt,ID,ActualTweet,Source,Truncated,InReplyToStatusID,InReplyToUserID,InReplyToScreenName,UserID,UserScreenName,GEO,Coordinates,PlaceID,PlaceURL,PlaceType,PlaceName,PlaceFullName,PlaceCountryCode,PlaceCountry,Contributors,RetweetCount,FavouriteCount,Hashtags,Symbols,URL,URLInTweetExpanded,Indices,MediaIndices,MediaURL,MediaURLShort,MediaType,UserMentionScreenName,UserMentionName,UserMentionID,Favourited,Retweeted,PossiblySensitive,Language,Classifier,TweetLength
Wed Jul 09 01:30:11 +0000 2014,486683701057576961,"Nice try Prince Fielder, but George Costanza was way ahead of you: https://t.co/BpSXSzoCIz","<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>",false,,,,307478701,TheFakeESPN,,,,,,,,,,,58,43,,,https://t.co/BpSXSzoCIz,https://cards.twitter.com/cards/18ce53vysyu/19aq,90,,,,,,,,false,false,false,en,0,90
Tue Jul 08 23:11:32 +0000 2014,486648810702004225,RT @2014WorIdCup: The Hottest Reporters at the 2014 World Cup: http://t.co/Im72O1Do74 | http://t.co/vpqLlBf9AU,"<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>",false,,,,307478701,TheFakeESPN,,,,,,,,,,,853,0,,,http://t.co/Im72O1Do74,http://bit.ly/1n1wK3N,85,110,http://pbs.twimg.com/media/Br-IZDiCQAE6Xj_.jpg,http://t.co/vpqLlBf9AU,photo,2014WorIdCup,2014 World Cup,2600210567,false,false,false,en,0,110
Tue Jul 08 23:09:55 +0000 2014,486648404471054336,RT @FakeSportsCentr: The home team hasn't taken a beating like this since World War II #BrazilvsGermany,"<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>",false,,,,307478701,TheFakeESPN,,,,,,,,,,,2359,0,BrazilvsGermany,,,,,,,,,FakeSportsCentr,Fake SportsCenter,584031440,false,false,,en,0,103
Tue Jul 08 23:08:01 +0000 2014,486647925632544768,RT @_Happy_Gilmore: Brazil quickly updates their flag ... https://t.co/KmmNFBzFpX,"<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>",false,,,,307478701,TheFakeESPN,,,,,,,,,,,255,0,,,https://t.co/KmmNFBzFpX,https://cards.twitter.com/cards/18ce53vyy2c/193x,81,,,,,_Happy_Gilmore,Happy Gilmore,299800115,false,false,false,en,0,81
Tue Jul 08 23:07:52 +0000 2014,486647887841861632,RT @_Happy_Gilmore: Germany is really making up for their loss in WW I &amp; WW II.,"<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>",false,,,,307478701,TheFakeESPN,,,,,,,,,,,1622,0,,,,,,,,,,_Happy_Gilmore,Happy Gilmore,299800115,false,false,,en,0,83
Tue Jul 08 22:57:56 +0000 2014,486645388015726592,"?Nicht 1, nicht 2, nicht 3, nicht 4, nicht 5, nicht 6 ?? - Germany","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>",false,,,,307478701,TheFakeESPN,,,,,,,,,,,440,430,,,,,,,,,,,,,false,false,,de,0,66
Tue Jul 08 22:36:16 +0000 2014,486639936808828928,So much Brazilian sadness all in one GIF: https://t.co/JWjsJ812TS,"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>",false,,,,307478701,TheFakeESPN,,,,,,,,,,,65,62,,,https://t.co/JWjsJ812TS,https://cards.twitter.com/cards/18ce53vysyu/198k,65,,,,,,,,false,false,false,en,0,65
Tue Jul 08 21:00:51 +0000 2014,486615923349278720,Jim Ross Calling The Brazil-Germany First Half Highlights http://t.co/vvLtva868u,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",false,,,,307478701,TheFakeESPN,,,,,,,,,,,168,129,,,http://t.co/vvLtva868u,http://bit.ly/1rOrxDX,80,,,,,,,,false,false,false,en,0,80
Tue Jul 08 21:00:17 +0000 2014,486615779085795329,Germany finding a Brazilian wax really helps the balls slide right in.,"<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>",false,,,,307478701,TheFakeESPN,,,,,,,,,,,550,470,,,,,,,,,,,,,false,false,,en,0,70
Tue Jul 08 20:47:36 +0000 2014,486612589477392384,Brazil identifying with the Jewish community.,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",false,,,,307478701,TheFakeESPN,,,,,,,,,,,744,881,,,,,,,,,,,,,false,false,,en,0,45
Tue Jul 08 19:41:21 +0000 2014,486595915143467008,Johnny Manziel leaves ESPN Body Issue photo-shoot after realizing he misunderstood what they meant by ?taking body shots.?,"<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>",false,,,,307478701,TheFakeESPN,,,,,,,,,,,1202,1008,,,,,,,,,,,,,false,false,,en,0,122
Tue Jul 08 02:00:07 +0000 2014,486328849026646017,The fronts of our pants are saluting these UFC octagon girls: https://t.co/ZV7jOVIw5J,"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>",false,,,,307478701,TheFakeESPN,,,,,,,,,,,5,23,,,https://t.co/ZV7jOVIw5J,https://cards.twitter.com/cards/18ce53vysyu/180l,85,,,,,,,,false,false,false,en,0,85
