CreatedAt,ID,ActualTweet,Source,Truncated,InReplyToStatusID,InReplyToUserID,InReplyToScreenName,UserID,UserScreenName,GEO,Coordinates,PlaceID,PlaceURL,PlaceType,PlaceName,PlaceFullName,PlaceCountryCode,PlaceCountry,Contributors,RetweetCount,FavouriteCount,Hashtags,Symbols,URL,URLInTweetExpanded,Indices,MediaIndices,MediaURL,MediaURLShort,MediaType,UserMentionScreenName,UserMentionName,UserMentionID,Favourited,Retweeted,PossiblySensitive,Language,Classifier,TweetLength
Wed Jul 09 14:35:29 +0000 2014,486881329456619521,[American Voices] ?Cats? Musical To Feature Rapping Cat http://t.co/ppz5MNVi7g #WhatDoYouThink?,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,14075928,TheOnion,,,,,,,,,,,7,5,WhatDoYouThink,,http://t.co/ppz5MNVi7g,http://onion.com/1qK1SdY,78,,,,,,,,false,false,false,en,0,95
Wed Jul 09 14:28:58 +0000 2014,486879688162562048,RT @OnionAdCzar: I just ate a #DoritosLoaded from @7eleven and suddenly everything is right in the world.,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,14075928,TheOnion,,,,,,,,,,,9,0,DoritosLoaded,,,,,,,,,7eleven,"7-Eleven, Inc.",80102659,false,false,,en,0,105
Wed Jul 09 13:46:02 +0000 2014,486868885023772672,In Focus | Report: Peanut Butter Contains Traces Of Rat Feces But Life's Weird Like That Sometimes http://t.co/bV0zw0XJIC,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",false,,,,14075928,TheOnion,,,,,,,,,,,75,67,,,http://t.co/bV0zw0XJIC,http://onion.com/1jpkJKL,121,,,,,,,,false,false,false,en,0,121
Wed Jul 09 02:01:07 +0000 2014,486691485409378307,Bored Scientists Now Just Sticking Random Things Into Large Hadron Collider http://t.co/NwpEDDkc06,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",false,,,,14075928,TheOnion,,,,,,,,,,,383,287,,,http://t.co/NwpEDDkc06,http://onion.com/1vXSbbn,98,,,,,,,,false,false,false,en,0,98
Wed Jul 09 01:20:17 +0000 2014,486681209800753152,Inside Harry Potter World?s New Diagon Alley http://t.co/SCL9F4iyQa,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",false,,,,14075928,TheOnion,,,,,,,,,,,126,100,,,http://t.co/SCL9F4iyQa,http://onion.com/1vXS5jU,67,,,,,,,,false,false,false,en,0,67
Wed Jul 09 00:40:11 +0000 2014,486671120549294080,Few More Items Knocked Off List Of Desirable Traits In Partner As Woman Turns Year Older http://t.co/u97hKjJyZL,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",false,,,,14075928,TheOnion,,,,,,,,,,,120,130,,,http://t.co/u97hKjJyZL,http://onion.com/1vXS2ED,111,,,,,,,,false,false,false,en,0,111
Wed Jul 09 00:01:10 +0000 2014,486661299775213568,Moon Finally Hatches http://t.co/XuwXLqfIoz,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",false,,,,14075928,TheOnion,,,,,,,,,,,89,105,,,http://t.co/XuwXLqfIoz,http://onion.com/1vXRWgk,43,,,,,,,,false,false,false,en,0,43
Tue Jul 08 23:41:41 +0000 2014,486656398550241280,RT @OnionSports: Brazil Dedicates 7-1 Defeat To Neymar http://t.co/T17wRkLv38 http://t.co/LOBsbeRFBt,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,14075928,TheOnion,,,,,,,,,,,2047,0,,,http://t.co/T17wRkLv38,http://onion.com/1mwxSk2,77,100,http://pbs.twimg.com/media/BsDcRO5CEAQq-K3.jpg,http://t.co/LOBsbeRFBt,photo,OnionSports,Onion Sports Network,159894847,false,false,false,en,0,100
Tue Jul 08 23:20:22 +0000 2014,486651034753069059,[American Voices] Crumbs Cupcake Shops Out Of Business http://t.co/EXQCUgIwmT #WhatDoYouThink?,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",false,,,,14075928,TheOnion,,,,,,,,,,,23,35,WhatDoYouThink,,http://t.co/EXQCUgIwmT,http://onion.com/1vXOjai,77,,,,,,,,false,false,false,en,0,94
Tue Jul 08 22:20:07 +0000 2014,486635872314355712,In Focus: Zoo Visitors Watch Mating Rituals Of Ice Cream Shop Staff http://t.co/9zCyDKDXBF http://t.co/a2rtSnCb6K,"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>",false,,,,14075928,TheOnion,,,,,,,,,,,160,224,,,http://t.co/9zCyDKDXBF,http://onion.com/1jcdrJS,90,113,http://pbs.twimg.com/media/BsDG83OCcAEtCzI.jpg,http://t.co/a2rtSnCb6K,photo,,,,false,false,false,en,0,113
