CreatedAt,ID,ActualTweet,Source,Truncated,InReplyToStatusID,InReplyToUserID,InReplyToScreenName,UserID,UserScreenName,GEO,Coordinates,PlaceID,PlaceURL,PlaceType,PlaceName,PlaceFullName,PlaceCountryCode,PlaceCountry,Contributors,RetweetCount,FavouriteCount,Hashtags,Symbols,URL,URLInTweetExpanded,Indices,MediaIndices,MediaURL,MediaURLShort,MediaType,UserMentionScreenName,UserMentionName,UserMentionID,Favourited,Retweeted,PossiblySensitive,Language,Classifier,TweetLength
Mon Jul 14 10:20:09 +0000 2014,488629013855096832,"Facebook and Twitter score at the #WorldCup. There were 618,725 tweets per second during the final http://t.co/e6W0wDGZDu","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,3108351,WSJ,,,,,,,,,,,104,36,WorldCup,,http://t.co/e6W0wDGZDu,http://on.wsj.com/1raetJ5,121,,,,,,,,false,false,false,en,1,121
Mon Jul 14 10:07:04 +0000 2014,488625717866147840,#ARG v #GER: A minute-by-minute visual breakdown: http://t.co/Ep4JlufsuA #WorldCup http://t.co/r85iGOx5UT,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,3108351,WSJ,,,,,,,,,,,96,43,WorldCup,,http://t.co/Ep4JlufsuA,http://on.wsj.com/1qXr298,72,105,http://pbs.twimg.com/media/BsfygFoIEAAHdCe.png,http://t.co/r85iGOx5UT,photo,,,,false,false,false,en,1,105
Mon Jul 14 09:30:06 +0000 2014,488616417718439936,Take an early look at our front page http://t.co/TWoOOcC1n3,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,3108351,WSJ,,,,,,,,,,,43,32,,,,,,59,http://pbs.twimg.com/media/BsfqCspIEAAaCdC.jpg,http://t.co/TWoOOcC1n3,photo,,,,false,false,false,en,1,59
Mon Jul 14 09:23:40 +0000 2014,488614797123260417,RT @Simon_Nixon: Portugal Isn't Euro Zone's Biggest Problem - stability hinges on Italy's Renzi delivering reforms. My latest.  http://t.co?,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,3108351,WSJ,,,,,,,,,,,35,0,,,http://t.co/bNRk0nyVye,http://on.wsj.com/1nvZuX5,140,,,,,Simon_Nixon,Simon Nixon,187965811,false,false,false,en,1,134
Mon Jul 14 09:05:40 +0000 2014,488610267786653696,RT @endacurran: Standard Chartered bank calls in the lawyers over a suspected loans fraud in China: http://t.co/G8UjgRYgJk,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,3108351,WSJ,,,,,,,,,,,38,0,,,http://t.co/G8UjgRYgJk,http://on.wsj.com/U3vCpg,122,,,,,endacurran,enda curran,283807534,false,false,false,en,1,122
Mon Jul 14 09:01:02 +0000 2014,488609101136822272,"RT @BruceOrwall: A high-def, sometimes lurid look at how one firm courted Libya's business during the Gadhafi years. http://t.co/tehDAQfHmL?","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,3108351,WSJ,,,,,,,,,,,14,0,,,http://t.co/tehDAQfHmL,http://on.wsj.com/1nuqTc2,139,,,,,WSJ,Wall Street Journal,3108351,false,false,false,en,1,134
Mon Jul 14 08:33:07 +0000 2014,488602075509833728,Afghanistan set to start unprecedented audit of 8.1 million votes for fraud http://t.co/emB2SuCdSD http://t.co/WAPz319DRk,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,3108351,WSJ,,,,,,,,,,,66,36,,,http://t.co/emB2SuCdSD,http://on.wsj.com/1yewZRq,98,121,http://pbs.twimg.com/media/Bsfc_6lIUAABEIX.jpg,http://t.co/WAPz319DRk,photo,,,,false,false,false,en,1,121
Mon Jul 14 08:00:05 +0000 2014,488593762193801216,Budget airlines in Asia compete with full-service carriers for long-distance flights http://t.co/nZTL2u493H http://t.co/ut5W0JhbSU,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,3108351,WSJ,,,,,,,,,,,70,49,,,http://t.co/nZTL2u493H,http://on.wsj.com/1nlJjHc,107,130,http://pbs.twimg.com/media/BsfVcBmIIAEuK7y.jpg,http://t.co/ut5W0JhbSU,photo,,,,false,false,false,en,1,134
Mon Jul 14 07:44:25 +0000 2014,488589819312762880,RT @ChinaRealTime: 'We just feel helpless.' Hong Kong residents weigh in on the city's fight for democracy http://t.co/UtwdlGlaMM http://t.?,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,3108351,WSJ,,,,,,,,,,,99,0,,,http://t.co/UtwdlGlaMM,http://on.wsj.com/1yfeoVm,129,140,http://pbs.twimg.com/media/Bse2E3MIYAAvmve.png,http://t.co/v2VseHnWFb,photo,ChinaRealTime,WSJ China Real Time,16994529,false,false,false,en,1,134
Mon Jul 14 07:28:07 +0000 2014,488585717879410688,Police name administrator and teaching assistant as suspects in sexual-abuse probe at a top Jakarta school http://t.co/izpAueP1ra,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",false,,,,3108351,WSJ,,,,,,,,,,,38,22,,,http://t.co/izpAueP1ra,http://on.wsj.com/1nvDlYZ,129,,,,,,,,false,false,false,en,1,134
