CreatedAt,ID,ActualTweet,Source,Truncated,InReplyToStatusID,InReplyToUserID,InReplyToScreenName,UserID,UserScreenName,GEO,Coordinates,PlaceID,PlaceURL,PlaceType,PlaceName,PlaceFullName,PlaceCountryCode,PlaceCountry,Contributors,RetweetCount,FavouriteCount,Hashtags,Symbols,URL,URLInTweetExpanded,Indices,MediaIndices,MediaURL,MediaURLShort,MediaType,UserMentionScreenName,UserMentionName,UserMentionID,Favourited,Retweeted,PossiblySensitive,Language,Classifier,TweetLength
Sat May 31 20:45:55 +0000 2014,472841424900481024,Put your lips close to mine / If you want,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,1507797152,feministtswift,,,,,,,,,,,125,225,,,,,,,,,,,,,false,false,,en,0,41
Tue Apr 15 06:20:26 +0000 2014,455953776621658112,He was long gone / When he met me / And I realize / The blame is on the patriarchy,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,1507797152,feministtswift,,,,,,,,,,,460,507,,,,,,,,,,,,,false,false,,en,0,82
Thu Feb 20 16:29:46 +0000 2014,436538176870817793,It feels like a perfect night to dress up like suffragettes,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,1507797152,feministtswift,,,,,,,,,,,672,608,,,,,,,,,,,,,false,false,,en,0,59
Sun Feb 16 16:35:37 +0000 2014,435090098368286720,I don't know what I want / So don't ask me to find a well educated husband in college / Cause I'm still trying to figure it out,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,1507797152,feministtswift,,,,,,,,,,,328,377,,,,,,,,,,,,,false,false,,en,0,127
Tue Jan 28 19:22:54 +0000 2014,428246826912088064,There we are again / On that little town street / I was seeing red / 'Cause you thought catcalls should flatter me,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,1507797152,feministtswift,,,,,,,,,,,476,419,,,,,,,,,,,,,false,false,,en,0,114
Tue Jan 28 19:20:37 +0000 2014,428246252170784769,[[interested in feminism and cute underwear? this kickstarter is worth a look: https://t.co/WwvgQOI33V ~ feministtswift]],"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,1507797152,feministtswift,,,,,,,,,,,49,85,,,https://t.co/WwvgQOI33V,https://www.kickstarter.com/projects/amulya/social-change-through-consumerism-feminist-style,102,,,,,,,,false,false,false,en,0,121
Thu Jan 16 12:17:40 +0000 2014,423791159040020480,I don't know about you / So I won't assume your experience as a woman / But I'm feeling 22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,1507797152,feministtswift,,,,,,,,,,,698,564,,,,,,,,,,,,,false,false,,en,0,90
Sun Dec 29 00:28:11 +0000 2013,417089630623006720,I was a flight risk / With a fear of falling / Wondering why we bothered with the Equal Rights Amendment / If it never passed,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,1507797152,feministtswift,,,,,,,,,,,573,608,,,,,,,,,,,,,false,false,,en,0,125
Fri Dec 13 21:09:07 +0000 2013,411603712931823616,"And they were all standing around me singing / ""Happy Birthday to You"" / And there was nothing missing / I don't need a man to complete me","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,1507797152,feministtswift,,,,,,,,,,,394,478,,,,,,,,,,,,,false,false,,en,0,134
Thu Nov 28 20:35:42 +0000 2013,406159487217958912,This is me swallowing my pride / Standing in front of you / Saying I'm sorry for marginalizing your gender identity,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,1507797152,feministtswift,,,,,,,,,,,506,492,,,,,,,,,,,,,false,false,,en,0,115
Tue Nov 12 00:32:15 +0000 2013,400058421736525825,Lurking in the shadows with their lip gloss smiles / But I don't care / 'Cause their makeup choices don't affect me whatsoever,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,1507797152,feministtswift,,,,,,,,,,,408,391,,,,,,,,,,,,,false,false,,en,0,126
Tue Nov 12 00:31:45 +0000 2013,400058295781584896,[[ RIGHT NOW: free shipping on feminist tswift iphone cases and prints!  http://t.co/vZqYJ8yyub ]],"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,1507797152,feministtswift,,,,,,,,,,,12,44,,,http://t.co/vZqYJ8yyub,http://society6.com/feministtswift?promo=2affce,95,,,,,,,,false,false,false,en,0,98
