CreatedAt,ID,ActualTweet,Source,Truncated,InReplyToStatusID,InReplyToUserID,InReplyToScreenName,UserID,UserScreenName,GEO,Coordinates,PlaceID,PlaceURL,PlaceType,PlaceName,PlaceFullName,PlaceCountryCode,PlaceCountry,Contributors,RetweetCount,FavouriteCount,Hashtags,Symbols,URL,URLInTweetExpanded,Indices,MediaIndices,MediaURL,MediaURLShort,MediaType,UserMentionScreenName,UserMentionName,UserMentionID,Favourited,Retweeted,PossiblySensitive,Language,Classifier,TweetLength
Fri Jul 11 14:50:16 +0000 2014,487609825472176128,Showdown between CIA and Senate Intelligence Committee ends as DOJ says it will not conduct criminal investigation: http://t.co/9lNXosbPPC,"<a href=""http://adobe.com"" rel=""nofollow"">Adobe? Social</a>",false,,,,2836421,msnbc,,,,,,,,,,,7,5,,,http://t.co/9lNXosbPPC,http://on.msnbc.com/1re40df,138,,,,,,,,false,false,false,en,1,134
Fri Jul 11 14:30:12 +0000 2014,487604777404997632,".@JLO weighs in on the border crisis: ""As a mom, it's just heartbreaking"" http://t.co/U7ju6ZKuys","<a href=""http://adobe.com"" rel=""nofollow"">Adobe? Social</a>",false,,,,2836421,msnbc,,,,,,,,,,,10,4,,,http://t.co/U7ju6ZKuys,http://on.msnbc.com/1re1p31,96,,,,,JLo,Jennifer Lopez,85603854,false,false,false,en,1,96
Fri Jul 11 14:10:19 +0000 2014,487599772891488256,The man who was fired after becoming the first person to legally buy weed in Spokane gets his job back: http://t.co/1r8f626ATJ,"<a href=""http://adobe.com"" rel=""nofollow"">Adobe? Social</a>",false,,,,2836421,msnbc,,,,,,,,,,,19,11,,,http://t.co/1r8f626ATJ,http://on.msnbc.com/1rdYBTu,126,,,,,,,,false,false,false,en,1,126
Fri Jul 11 13:50:06 +0000 2014,487594684273815552,".@Lavernecox's Emmy nod is an indication audiences are ready for more trans characters, says @GLAAD: http://t.co/oJjza1ODIj #LGBT","<a href=""http://adobe.com"" rel=""nofollow"">Adobe? Social</a>",false,,,,2836421,msnbc,,,,,,,,,,,3,11,LGBT,,http://t.co/oJjza1ODIj,http://on.msnbc.com/1rdVUBq,123,,,,,glaad,GLAAD,31583882,false,false,false,en,1,134
Fri Jul 11 13:30:55 +0000 2014,487589857292582913,WATCH LIVE: Congressional Hispanic Caucus holds press conference to discuss unaccompanied minors along the border: http://t.co/KDg7HXzeEu,"<a href=""http://adobe.com"" rel=""nofollow"">Adobe? Social</a>",false,,,,2836421,msnbc,,,,,,,,,,,10,2,,,http://t.co/KDg7HXzeEu,http://on.msnbc.com/1rdThiR,137,,,,,,,,false,false,false,en,1,134
Fri Jul 11 13:30:49 +0000 2014,487589831774466048,Why the House GOP is suing President Obama over the health care mandate: http://t.co/bH4LjRidXp,"<a href=""http://adobe.com"" rel=""nofollow"">Adobe? Social</a>",false,,,,2836421,msnbc,,,,,,,,,,,10,5,,,http://t.co/bH4LjRidXp,http://on.msnbc.com/1rdTgLV,95,,,,,,,,false,false,false,en,1,95
Fri Jul 11 12:40:11 +0000 2014,487577089109798914,"Immigration advocates argue border kids should be called ""refugees"": http://t.co/7OmRV4KjDK","<a href=""http://adobe.com"" rel=""nofollow"">Adobe? Social</a>",false,,,,2836421,msnbc,,,,,,,,,,,25,14,,,http://t.co/7OmRV4KjDK,http://on.msnbc.com/1rdM6XX,91,,,,,,,,false,false,false,en,1,91
Fri Jul 11 12:20:11 +0000 2014,487572055705911297,"Bundy ranch standoff ""emboldened"" groups of ""volatile extremists,"" according to new report: http://t.co/wHmnyZ1pbJ","<a href=""http://adobe.com"" rel=""nofollow"">Adobe? Social</a>",false,,,,2836421,msnbc,,,,,,,,,,,11,4,,,http://t.co/wHmnyZ1pbJ,http://on.msnbc.com/1rdJIAH,114,,,,,,,,false,false,false,en,1,114
Fri Jul 11 12:00:17 +0000 2014,487567047832784896,Boehner reveals plan to sue Obama over health care employer mandate: http://t.co/lbQ9PeeARd,"<a href=""http://adobe.com"" rel=""nofollow"">Adobe? Social</a>",false,,,,2836421,msnbc,,,,,,,,,,,17,6,,,http://t.co/lbQ9PeeARd,http://on.msnbc.com/1r2LtD1,91,,,,,,,,false,false,false,en,1,91
Fri Jul 11 03:20:11 +0000 2014,487436161111949312,"New report by @splcenter suggests Cliven Bundy ranch standoff ""emboldened"" so-called ""volatile extremists"": http://t.co/lJ3g7jFoY0","<a href=""http://adobe.com"" rel=""nofollow"">Adobe? Social</a>",false,,,,2836421,msnbc,,,,,,,,,,,39,5,,,http://t.co/lJ3g7jFoY0,http://on.msnbc.com/1r1wTvF,130,,,,,splcenter,SPLC,65698096,false,false,false,en,1,134
