CreatedAt,ID,ActualTweet,Source,Truncated,InReplyToStatusID,InReplyToUserID,InReplyToScreenName,UserID,UserScreenName,GEO,Coordinates,PlaceID,PlaceURL,PlaceType,PlaceName,PlaceFullName,PlaceCountryCode,PlaceCountry,Contributors,RetweetCount,FavouriteCount,Hashtags,Symbols,URL,URLInTweetExpanded,Indices,MediaIndices,MediaURL,MediaURLShort,MediaType,UserMentionScreenName,UserMentionName,UserMentionID,Favourited,Retweeted,PossiblySensitive,Language,Classifier,TweetLength
Fri Jul 11 14:09:51 +0000 2014,487599654180511744,NEWS! Luis Suarez's Barcelona contract to include three chewable Catalans a week http://t.co/WNOBRFsB8p,"<a href=""http://newsthump.com"" rel=""nofollow"">NewsThump</a>",false,,,,21185021,newsthump,,,,,,,,,,,10,4,,,http://t.co/WNOBRFsB8p,http://bit.ly/W3A4WQ,103,,,,,,,,false,false,false,en,0,103
Fri Jul 11 13:43:00 +0000 2014,487592896192053248,NEWS! Diabetics still struggling with concept of putting fewer things in their mouths http://t.co/JfGGkukuRd,"<a href=""http://newsthump.com"" rel=""nofollow"">NewsThump</a>",false,,,,21185021,newsthump,,,,,,,,,,,4,2,,,http://t.co/JfGGkukuRd,http://bit.ly/W3w1tE,108,,,,,,,,false,false,false,en,0,108
Fri Jul 11 10:07:54 +0000 2014,487538767725854720,NEWS! Lost Royal Mail ?1bn found 'alive and well' in investment bank client accounts http://t.co/q9VJdr5A4C,"<a href=""http://newsthump.com"" rel=""nofollow"">NewsThump</a>",false,,,,21185021,newsthump,,,,,,,,,,,11,5,,,http://t.co/q9VJdr5A4C,http://bit.ly/1r2tpJi,107,,,,,,,,false,false,false,en,0,107
Thu Jul 10 14:34:40 +0000 2014,487243510563999744,"NEWS! Teachers being on strike is brilliant, insists 8 year-old sat in front of Xbox http://t.co/XVxlxwd2Yh","<a href=""http://newsthump.com"" rel=""nofollow"">NewsThump</a>",false,,,,21185021,newsthump,,,,,,,,,,,11,4,,,http://t.co/XVxlxwd2Yh,http://bit.ly/1treqdz,107,,,,,,,,false,false,false,en,0,107
Thu Jul 10 11:17:52 +0000 2014,487193985635860480,NEWS! Editor responsible for cutting paedophiles out of Top of the Pops repeats hospitalised with exhaustion http://t.co/QvZEiQ14dc,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>",false,,,,21185021,newsthump,,,,,,,,,,,9,4,,,http://t.co/QvZEiQ14dc,http://newsthump.com/2012/10/16/editor-responsible-for-cutting-paedophiles-out-of-top-of-the-pops-repeats-hospitalised-with-exhaustion/,131,,,,,,,,false,false,false,en,0,134
Thu Jul 10 08:40:47 +0000 2014,487154454467448832,"NEWS! I support your right to strike as long as you don?t strike, Cable tells unions http://t.co/Xebt9UzFQf","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>",false,,,,21185021,newsthump,,,,,,,,,,,8,0,,,http://t.co/Xebt9UzFQf,http://newsthump.com/2011/06/06/i-support-your-right-to-strike-as-long-as-you-dont-strike-cable-tells-unions/,107,,,,,,,,false,false,false,en,0,107
Thu Jul 10 08:40:26 +0000 2014,487154364742901760,"NEWS! Your child?s school attendance is absolutely mandatory ? unless we?re on strike, insist teachers http://t.co/eexd7rkBSY","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>",false,,,,21185021,newsthump,,,,,,,,,,,18,7,,,http://t.co/eexd7rkBSY,http://newsthump.com/2014/03/26/your-childs-school-attendance-is-absolutely-mandatory-unless-were-on-strike-insist-teachers/,125,,,,,,,,false,false,false,en,0,125
Wed Jul 09 16:12:43 +0000 2014,486905801215594496,NEWS! Team Sky to consider stabilisers http://t.co/PCTn18TcYb,"<a href=""http://newsthump.com"" rel=""nofollow"">NewsThump</a>",false,,,,21185021,newsthump,,,,,,,,,,,22,7,,,http://t.co/PCTn18TcYb,http://bit.ly/TSSCXR,61,,,,,,,,false,false,false,en,0,61
Wed Jul 09 13:48:24 +0000 2014,486869479759298560,NEWS! Britain's low paid wondering if they can 'upgrade to slavery' http://t.co/VNK25bFkFX,"<a href=""http://newsthump.com"" rel=""nofollow"">NewsThump</a>",false,,,,21185021,newsthump,,,,,,,,,,,10,4,,,http://t.co/VNK25bFkFX,http://bit.ly/VXJjYL,90,,,,,,,,false,false,false,en,0,90
Wed Jul 09 11:26:40 +0000 2014,486833810638913536,"NEWS! 'Worst day of my life', says Brazilian millionaire who plays games for living http://t.co/T4A4eH51Fk","<a href=""http://newsthump.com"" rel=""nofollow"">NewsThump</a>",false,,,,21185021,newsthump,,,,,,,,,,,20,9,,,http://t.co/T4A4eH51Fk,http://bit.ly/1ndDQqu,106,,,,,,,,false,false,false,en,0,106
Wed Jul 09 10:37:06 +0000 2014,486821340595650560,NEWS! Blow to 'Yes' campaign as Abu Bakr al-Baghdadi decrees Scotland part of caliphate http://t.co/LT0ddGIxFQ,"<a href=""http://newsthump.com"" rel=""nofollow"">NewsThump</a>",false,,,,21185021,newsthump,,,,,,,,,,,8,3,,,http://t.co/LT0ddGIxFQ,http://bit.ly/1qULdWF,110,,,,,,,,false,false,false,en,0,110
Tue Jul 08 14:38:16 +0000 2014,486519641343557632,NEWS! New Doctor Who to travel back in time and invent the word ?fuck? http://t.co/RuOrR80fRT,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>",false,,,,21185021,newsthump,,,,,,,,,,,6,0,,,http://t.co/RuOrR80fRT,http://newsthump.com/2013/08/05/new-doctor-who-to-travel-back-in-time-and-invent-the-word-fuck/,93,,,,,,,,false,false,false,en,0,93
Tue Jul 08 14:36:12 +0000 2014,486519124013887488,NEWS! MPs  claimed expenses for children's home visits http://t.co/vz1NPGJni1,"<a href=""http://newsthump.com"" rel=""nofollow"">NewsThump</a>",false,,,,21185021,newsthump,,,,,,,,,,,7,0,,,http://t.co/vz1NPGJni1,http://bit.ly/1qGUboF,77,,,,,,,,false,false,false,en,0,77
Fri Jul 04 14:27:40 +0000 2014,485067422521905152,NEWS! US National Rifle Association calls for ban on ?schools? http://t.co/KJAdUrZzWV,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>",false,,,,21185021,newsthump,,,,,,,,,,,12,2,,,http://t.co/KJAdUrZzWV,http://newsthump.com/2012/12/15/us-national-rifle-association-calls-for-ban-on-schools/,85,,,,,,,,false,false,false,en,0,85
Fri Jul 04 12:12:08 +0000 2014,485033314269806592,NEWS! Queen accidentally names new aircraft carrier 'Dave' http://t.co/JzwUApDYuW,"<a href=""http://newsthump.com"" rel=""nofollow"">NewsThump</a>",false,,,,21185021,newsthump,,,,,,,,,,,7,1,,,http://t.co/JzwUApDYuW,http://bit.ly/1quHqNS,81,,,,,,,,false,false,false,en,0,81
Fri Jul 04 09:48:48 +0000 2014,484997243133755392,NEWS! Andy Coulson to be given chance to find out whether prisons are like holiday camps http://t.co/HLNzmfS8OM,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>",false,,,,21185021,newsthump,,,,,,,,,,,17,2,,,http://t.co/HLNzmfS8OM,http://newsthump.com/2012/07/24/brooks-and-coulson-to-be-given-chance-to-find-out-whether-prisons-are-like-holiday-camps/,111,,,,,,,,false,false,false,en,0,111
Fri Jul 04 09:28:49 +0000 2014,484992215673229312,NEWS! US celebrates Chinese Dependence Day http://t.co/EftUhXH4QE,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>",false,,,,21185021,newsthump,,,,,,,,,,,4,2,,,http://t.co/EftUhXH4QE,http://newsthump.com/2012/07/04/us-celebrates-chinese-dependence-day/,65,,,,,,,,false,false,false,en,0,65
Thu Jul 03 10:44:53 +0000 2014,484648968270651392,"NEWS! Google receives 12,000 requests to ?forget? Katie Hopkins http://t.co/NqxcgBzhKl","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>",false,,,,21185021,newsthump,,,,,,,,,,,11,5,,,http://t.co/NqxcgBzhKl,http://newsthump.com/2014/06/03/google-receives-12000-requests-to-forget-katie-hopkins/,86,,,,,,,,false,false,false,en,0,86
Wed Jul 02 10:44:44 +0000 2014,484286542920581121,"NEWS! Robin Thicke knows he wants it, confirms Robin Thicke http://t.co/I3J10Xc9CV","<a href=""http://newsthump.com"" rel=""nofollow"">NewsThump</a>",false,,,,21185021,newsthump,,,,,,,,,,,3,1,,,http://t.co/I3J10Xc9CV,http://bit.ly/TChYZW,82,,,,,,,,false,false,false,en,0,82
