CreatedAt,ID,ActualTweet,Source,Truncated,InReplyToStatusID,InReplyToUserID,InReplyToScreenName,UserID,UserScreenName,GEO,Coordinates,PlaceID,PlaceURL,PlaceType,PlaceName,PlaceFullName,PlaceCountryCode,PlaceCountry,Contributors,RetweetCount,FavouriteCount,Hashtags,Symbols,URL,URLInTweetExpanded,Indices,MediaIndices,MediaURL,MediaURLShort,MediaType,UserMentionScreenName,UserMentionName,UserMentionID,Favourited,Retweeted,PossiblySensitive,Language,Classifier,TweetLength
Fri Jul 04 18:31:34 +0000 2014,485128802947694592,Good luck declaring your independence from Facebook.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,149027636,notzuckerberg,,,,,,,,,,,6,7,,,,,,,,,,,,,false,false,,en,0,52
Mon Jun 30 19:42:16 +0000 2014,483697044012273665,Wow?hardly any uproar about us manipulating users' emotions. Lesson: it's good to be evil from the start so that people become numb to it.,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,149027636,notzuckerberg,,,,,,,,,,,14,9,,,,,,,,,,,,,false,false,,en,0,134
Thu Jun 19 19:09:03 +0000 2014,479702418242797568,I apologize that Facebook went down for thirty minutes this morning and that all of you were forced to spend that half hour meaningfully.,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,149027636,notzuckerberg,,,,,,,,,,,29,19,,,,,,,,,,,,,false,false,,en,0,134
Fri Jun 13 17:58:40 +0000 2014,477510379879141376,Happy Friday! Never forget that in real life you're a hugely disappointing version of the person you portray on your Facebook profile.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,149027636,notzuckerberg,,,,,,,,,,,22,7,,,,,,,,,,,,,false,false,,en,0,134
Wed Jun 11 18:48:33 +0000 2014,476798154008842240,"If you ask me, today's entitlement culture is to blame for people thinking that they are owed a right to privacy.","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,149027636,notzuckerberg,,,,,,,,,,,14,6,,,,,,,,,,,,,false,false,,en,0,113
Tue Jun 10 18:40:39 +0000 2014,476433780941410304,I hate going to gatherings of co-located humans to exchange offline information synchronously.,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,149027636,notzuckerberg,,,,,,,,,,,6,13,,,,,,,,,,,,,false,false,,en,0,94
Fri Jun 06 17:53:11 +0000 2014,474972281437827074,California Chrome probably runs as fast as he does because he's trying to escape the shame of being named after a Google product.,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,149027636,notzuckerberg,,,,,,,,,,,5,6,,,,,,,,,,,,,false,false,,en,0,134
Tue Jun 03 19:04:49 +0000 2014,473903145178116096,"RT @afterthatsummer: After being reminded that life is a precious gift, I feel like the sky is a little bluer and the grass is a little gre?","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,,,,149027636,notzuckerberg,,,,,,,,,,,6,0,,,,,,,,,,afterthatsummer,After that summer,88618742,false,false,,en,0,134
Tue Jun 03 17:55:39 +0000 2014,473885740217024513,The biggest problem in the world today is undersharing.,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,149027636,notzuckerberg,,,,,,,,,,,10,4,,,,,,,,,,,,,false,false,,en,0,55
Thu May 29 19:06:56 +0000 2014,472091741982838785,"When I look at a person, all I see is ones and zeros.","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,149027636,notzuckerberg,,,,,,,,,,,15,15,,,,,,,,,,,,,false,false,,en,0,53
