CreatedAt,ID,ActualTweet,Source,Truncated,InReplyToStatusID,InReplyToUserID,InReplyToScreenName,UserID,UserScreenName,GEO,Coordinates,PlaceID,PlaceURL,PlaceType,PlaceName,PlaceFullName,PlaceCountryCode,PlaceCountry,Contributors,RetweetCount,FavouriteCount,Hashtags,Symbols,URL,URLInTweetExpanded,Indices,MediaIndices,MediaURL,MediaURLShort,MediaType,UserMentionScreenName,UserMentionName,UserMentionID,Favourited,Retweeted,PossiblySensitive,Language,Classifier,TweetLength
Wed Jul 09 09:40:07 +0000 2014,486806999372279808,South African train collision in Durban injures at least 52 - http://t.co/G3tesCRDzu,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,134758540,timesofindia,,,,,,,,,,,1,2,,,http://t.co/G3tesCRDzu,http://timesofindia.indiatimes.com/world/rest-of-world/South-African-train-collision-injures-at-least-52/articleshow/38045414.cms,84,,,,,,,,false,false,false,en,1,84
Wed Jul 09 09:35:07 +0000 2014,486805741450178560,'Hurt' Speaker pulls up erring members in Lok Sabha http://t.co/leHbV7kYLr,"<a href=""http://timesofindia.indiatimes.com/"" rel=""nofollow"">The Times of India</a>",false,,,,134758540,timesofindia,,,,,,,,,,,1,1,,,http://t.co/leHbV7kYLr,http://timesofindia.indiatimes.com/india/Hurt-Speaker-pulls-up-erring-members-in-Lok-Sabha/articleshow/38073833.cms?utm_source=twitter.com&utm_medium=referral&utm_campaign=timesofindia,74,,,,,,,,false,false,false,en,1,74
Wed Jul 09 09:32:34 +0000 2014,486805097725186048,Transmission issues plague power-starved southern states http://t.co/kG8cAayo0G http://t.co/LXIAn8u2Fr,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,134758540,timesofindia,,,,,,,,,,,6,6,,,http://t.co/kG8cAayo0G,http://timesofindia.indiatimes.com/business/india-business/Transmission-issues-plague-power-starved-southern-states/articleshow/38072605.cms,79,102,http://pbs.twimg.com/media/BsF6p8ECQAET9-X.jpg,http://t.co/LXIAn8u2Fr,photo,,,,false,false,false,en,1,102
Wed Jul 09 09:15:09 +0000 2014,486800713796710401,Syrian opposition elects Hadi el-Bahra as new leader - http://t.co/SrTJ4WJCxV,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,134758540,timesofindia,,,,,,,,,,,7,4,,,http://t.co/SrTJ4WJCxV,http://timesofindia.indiatimes.com/world/middle-east/Syrian-opposition-elects-Hadi-el-Bahra-as-new-leader/articleshow/38063169.cms,77,,,,,,,,false,false,false,en,1,77
Wed Jul 09 09:05:03 +0000 2014,486798173298368513,Top US diplomat to visit India ahead of John Kerry's trip -http://t.co/IqdJzbwNkf,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,134758540,timesofindia,,,,,,,,,,,4,7,,,http://t.co/IqdJzbwNkf,http://timesofindia.indiatimes.com/world/us/Top-US-diplomat-to-visit-India-ahead-of-John-Kerrys-trip/articleshow/38045200.cms,81,,,,,,,,false,false,false,en,1,81
Wed Jul 09 08:55:05 +0000 2014,486795664467054593,How nice! Pilot of delayed US flight buys pizza for whole plane - http://t.co/O7DSJIZuS2 http://t.co/7AYappFjrj,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,134758540,timesofindia,,,,,,,,,,,90,40,,,http://t.co/O7DSJIZuS2,http://timesofindia.indiatimes.com/world/us/Pilot-of-delayed-US-flight-buys-pizza-for-whole-plane/articleshow/38061322.cms,88,111,http://pbs.twimg.com/media/BsFu3dbCYAASAyU.jpg,http://t.co/7AYappFjrj,photo,,,,false,false,false,en,1,111
Wed Jul 09 08:45:13 +0000 2014,486793180151431168,Indonesians vote for president in tight race - http://t.co/Wi6JY9lMkS,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,134758540,timesofindia,,,,,,,,,,,10,2,,,http://t.co/Wi6JY9lMkS,http://timesofindia.indiatimes.com/world/rest-of-world/Indonesians-vote-for-president-in-tight-race/articleshow/38063552.cms,69,,,,,,,,false,false,false,en,1,69
Wed Jul 09 08:40:23 +0000 2014,486791965191581696,Video news: All in one minute @ 2pm http://t.co/f78dGghs1t,"<a href=""http://timesofindia.indiatimes.com/"" rel=""nofollow"">The Times of India</a>",false,,,,134758540,timesofindia,,,,,,,,,,,3,3,,,http://t.co/f78dGghs1t,http://timesofindia.indiatimes.com/videoshow/38069934.cms?utm_source=twitter.com&utm_medium=referral&utm_campaign=timesofindia,58,,,,,,,,false,false,false,en,1,58
Wed Jul 09 08:40:14 +0000 2014,486791929984606208,Israel hit 160 targets in Gaza overnight: Army - http://t.co/y6pXgGvltw,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,134758540,timesofindia,,,,,,,,,,,10,4,,,http://t.co/y6pXgGvltw,http://timesofindia.indiatimes.com/world/middle-east/Israel-hit-160-targets-in-Gaza-overnight-Army/articleshow/38062092.cms,71,,,,,,,,false,false,false,en,1,71
Wed Jul 09 08:30:05 +0000 2014,486789373044592644,Is Brazil's World Cup exit worse than 1950 trauma?  http://t.co/cRw6KHCBHE,"<a href=""http://timesofindia.indiatimes.com/"" rel=""nofollow"">The Times of India</a>",false,,,,134758540,timesofindia,,,,,,,,,,,19,6,,,http://t.co/cRw6KHCBHE,http://timesofindia.indiatimes.com/sports/football/fifa-world-cup-2014/top-stories/Fifa-World-Cup-2014-Brazil-vs-Germany-Is-Brazils-World-Cup-exit-worse-than-1950-trauma/articleshow/38066505.cms?utm_source=twitter.com&utm_medium=referral&utm_campaign=timesofindia,74,,,,,,,,false,false,false,en,1,74
Wed Jul 09 08:29:12 +0000 2014,486789153602801664,Today's toon by Ninan ? http://t.co/xEDzJcDmJu,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,,,,134758540,timesofindia,,,,,,,,,,,36,18,,,,,,46,http://pbs.twimg.com/media/BsFsJ2NCMAAn7HV.jpg,http://t.co/xEDzJcDmJu,photo,,,,false,false,false,en,1,47
Wed Jul 09 08:16:10 +0000 2014,486785869789949952,Department of personnel and training rejects 6-day week schedule amid protests from women http://t.co/bCXirdtrxb,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,134758540,timesofindia,,,,,,,,,,,13,3,,,http://t.co/bCXirdtrxb,http://timesofindia.indiatimes.com/india/Department-of-personnel-and-training-rejects-6-day-week-schedule-amid-protests-from-women/articleshow/38063908.cms,112,,,,,,,,false,false,false,en,1,112
Wed Jul 09 08:15:29 +0000 2014,486785701350883328,Scarlett Keeling?s mother appeals to UK foreign minister to ask India to speed up her daughter's murder probe http://t.co/R5pBE0VfUu,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,134758540,timesofindia,,,,,,,,,,,12,2,,,http://t.co/R5pBE0VfUu,http://timesofindia.indiatimes.com/india/Scarlett-Keelings-mother-appeals-to-UK-foreign-minister-to-ask-India-to-speed-up-her-daughters-murder-probe/articleshow/38021525.cms,132,,,,,,,,false,false,false,en,1,134
Wed Jul 09 08:15:12 +0000 2014,486785629305331712,"Centre set to approve Rs 19,000 crore for INS Vikrant http://t.co/jbRIF038Wq","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",false,,,,134758540,timesofindia,,,,,,,,,,,14,8,,,http://t.co/jbRIF038Wq,http://timesofindia.indiatimes.com/india/Centre-set-to-approve-Rs-19000-crore-for-INS-Vikrant/articleshow/38034399.cms,76,,,,,,,,false,false,false,en,1,76
Wed Jul 09 07:50:08 +0000 2014,486779320199692288,Master strategist Amit Shah takes charge as BJP president  http://t.co/bA48efH0oX,"<a href=""http://timesofindia.indiatimes.com/"" rel=""nofollow"">The Times of India</a>",false,,,,134758540,timesofindia,,,,,,,,,,,31,22,,,http://t.co/bA48efH0oX,http://timesofindia.indiatimes.com/india/Amit-Shah-Modis-close-aide-takes-charge-as-BJP-president/articleshow/38068666.cms?utm_source=twitter.com&utm_medium=referral&utm_campaign=timesofindia,81,,,,,,,,false,false,false,en,1,81
