CreatedAt,ID,ActualTweet,Source,Truncated,InReplyToStatusID,InReplyToUserID,InReplyToScreenName,UserID,UserScreenName,GEO,Coordinates,PlaceID,PlaceURL,PlaceType,PlaceName,PlaceFullName,PlaceCountryCode,PlaceCountry,Contributors,RetweetCount,FavouriteCount,Hashtags,Symbols,URL,URLInTweetExpanded,Indices,MediaIndices,MediaURL,MediaURLShort,MediaType,UserMentionScreenName,UserMentionName,UserMentionID,Favourited,Retweeted,PossiblySensitive,Language,Classifier,TweetLength
Fri Jul 11 14:27:10 +0000 2014,487604010837237760,Bosnian mom buries 2 sons 19 years after genocide there: http://t.co/qcvVVfr2xM,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,28785486,ABC,,,,,,,,,,,28,14,,,http://t.co/qcvVVfr2xM,http://abcn.ws/1nkZhGk,79,,,,,,,,false,false,false,en,1,79
Fri Jul 11 14:15:15 +0000 2014,487601012006334464,The little girl who played dead after her family was shot dead in their home saved grandparents from the same fate: http://t.co/yy3F8EzT3f,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,28785486,ABC,,,,,,,,,,,81,66,,,http://t.co/yy3F8EzT3f,http://abcn.ws/1s2SJiv,138,,,,,,,,false,false,false,en,1,134
Fri Jul 11 14:02:11 +0000 2014,487597725362290691,President Obama is offering US help in negotiating an Israel/ Palestinian cease-fire: http://t.co/udjPnYOq06,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,28785486,ABC,,,,,,,,,,,32,19,,,http://t.co/udjPnYOq06,http://abcn.ws/1r34zci,108,,,,,,,,false,false,false,en,1,108
Fri Jul 11 13:55:13 +0000 2014,487595972474593281,RT @greenbergerj: Looking forward to @PierreTABC exclusive interview with AG Eric Holder - Sunday on @ThisWeekABC. http://t.co/i6vhS3zHVH,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,28785486,ABC,,,,,,,,,,,16,0,,,,,,137,http://pbs.twimg.com/media/BsRIdhrCAAMuAMN.jpg,http://t.co/i6vhS3zHVH,photo,ThisWeekABC,This Week,450941680,false,false,false,en,1,134
Fri Jul 11 13:50:12 +0000 2014,487594708969848833,"Apparently women see other women dressed in red as sexual threat, new study finds: http://t.co/5YC9uogR1g","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,28785486,ABC,,,,,,,,,,,51,40,,,http://t.co/5YC9uogR1g,http://abcn.ws/1jjywCb,105,,,,,,,,false,false,false,en,1,105
Fri Jul 11 13:32:40 +0000 2014,487590298776637440,Over 100 killed in Gaza as rockets fall on Israel: http://t.co/kQNLH5SuGo,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,28785486,ABC,,,,,,,,,,,70,27,,,http://t.co/kQNLH5SuGo,http://abcn.ws/1y3f3cg,73,,,,,,,,false,false,false,en,1,73
Fri Jul 11 11:00:12 +0000 2014,487551927811465216,A look at what Pres. Obama would see if he visited the US-Mexico border: http://t.co/SBv9zLBBMi http://t.co/quMcdkIuR6,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,28785486,ABC,,,,,,,,,,,181,58,,,http://t.co/SBv9zLBBMi,http://abcn.ws/1tsaJ7w,95,118,http://pbs.twimg.com/media/BsOKKFgCIAEENS1.jpg,http://t.co/quMcdkIuR6,photo,,,,false,false,false,en,1,118
Fri Jul 11 09:03:11 +0000 2014,487522479758245890,Florida executes man for 1994 rape and murder of an 11-year-old girl: http://t.co/GWr0qJCYUr,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,28785486,ABC,,,,,,,,,,,35,47,,,http://t.co/GWr0qJCYUr,http://abcn.ws/W1Kbvk,92,,,,,,,,false,false,false,en,1,92
Fri Jul 11 07:59:15 +0000 2014,487506391280529408,RT @AaronKatersky: Sirens in Ashdod. Father Covers his boy. Sounds of iron dome and smoke contrails on the sky http://t.co/hKE5p7MiMG,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,28785486,ABC,,,,,,,,,,,51,0,,,,,,133,http://pbs.twimg.com/media/BsP3r3VCUAA03wo.jpg,http://t.co/hKE5p7MiMG,photo,AaronKatersky,Aaron Katersky,125358141,false,false,false,en,1,134
Fri Jul 11 06:01:23 +0000 2014,487476726453510145,RT @ThisWeekABC: Obama Compares Himself to Marky Mark to Explain Washington Dysfunction http://t.co/OIPSybE34x,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,28785486,ABC,,,,,,,,,,,39,0,,,http://t.co/OIPSybE34x,http://abcn.ws/1oHztBS,110,,,,,ThisWeekABC,This Week,450941680,false,false,false,en,1,110
Fri Jul 11 04:00:08 +0000 2014,487446213797494784,How Israel's Iron Dome defense system works: http://t.co/LMq5UePhNJ http://t.co/MKZm306XIf,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,28785486,ABC,,,,,,,,,,,110,77,,,http://t.co/LMq5UePhNJ,http://abcn.ws/1lXDmjm,67,90,http://pbs.twimg.com/media/BsNj8F-CAAAnGjF.jpg,http://t.co/MKZm306XIf,photo,,,,false,false,false,en,1,90
Fri Jul 11 03:45:08 +0000 2014,487442440060534784,#ThrowBackThursday: 1984: Geraldine Ferraro is 1st woman selected to run for vice president on major party ticket: http://t.co/tyMXFVPjk1,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",false,,,,28785486,ABC,,,,,,,,,,,58,51,ThrowBackThursday,,http://t.co/tyMXFVPjk1,http://on.fb.me/1qq0D1o,137,,,,,,,,false,false,false,en,1,134
